time,curvature
1627339798.116382599,-0.023365935
1627339798.166396618,-0.023365935
1627339798.191409111,-0.023365935
1627339798.216345787,-0.023365935
1627339798.266391754,-0.023365935
1627339798.291375875,-0.023365935
1627339798.316367626,-0.023365935
1627339798.366389751,-0.023365935
1627339798.391375065,-0.023365935
1627339798.416407824,-0.023365935
1627339798.466391563,-0.023365935
1627339798.491368055,-0.023365935
1627339798.516376972,-0.023365935
1627339798.566426039,-0.023365935
1627339798.591392756,-0.023365935
1627339798.616384983,-0.023365935
1627339798.666374683,-0.023365935
1627339798.691404343,-0.023365935
1627339798.716411114,-0.023365935
1627339798.766406298,-0.023365935
1627339798.791422606,-0.023365935
1627339798.816361189,-0.023365935
1627339798.866358042,-0.023365935
1627339798.891397476,-0.023365935
1627339798.916380644,-0.023365935
1627339798.966359615,-0.023365935
1627339798.991367340,-0.023365935
1627339799.016391277,-0.023365935
1627339799.066387892,-0.023365935
1627339799.091437578,-0.023365935
1627339799.116402864,-0.023365935
1627339799.166418314,-0.023365935
1627339799.191395998,-0.023365935
1627339799.216397047,-0.023365935
1627339799.266416311,-0.023365935
1627339799.291395426,-0.023365935
1627339799.316374063,-0.023365935
1627339799.366415739,-0.023365935
1627339799.391417265,-0.023365935
1627339799.416416645,-0.023365935
1627339799.466411114,-0.023365935
1627339799.491414547,-0.023365935
1627339799.516349316,-0.023365935
1627339799.566376925,-0.023365935
1627339799.591376781,-0.023365935
1627339799.641362429,-0.023365935
1627339799.666371346,-0.023365935
1627339799.691362381,-0.023365935
1627339799.741335869,-0.023365935
1627339799.766398907,-0.023365935
1627339799.791400909,-0.023365935
1627339799.841317654,-0.023365935
1627339799.866407871,-0.023365935
1627339799.891367197,-0.023365935
1627339799.941326380,-0.023365935
1627339799.966408014,-0.023365935
1627339799.991396904,-0.023365935
1627339800.041325092,-0.023365935
1627339800.066413164,-0.023365935
1627339800.091417313,-0.023365935
1627339800.141406775,-0.023321304
1627339800.166397572,-0.023321304
1627339800.191434145,-0.023321304
1627339800.241377592,-0.023321304
1627339800.266375780,-0.023298990
1627339800.291367769,-0.023298990
1627339800.341376543,-0.023298990
1627339800.366361141,-0.023298990
1627339800.391369343,-0.023298990
1627339800.441381216,-0.023298990
1627339800.466356754,-0.023298990
1627339800.491398811,-0.023298990
1627339800.541373491,-0.023298990
1627339800.566379786,-0.023298990
1627339800.591382742,-0.023298990
1627339800.641388178,-0.023298990
1627339800.666413546,-0.023298990
1627339800.691410303,-0.023298990
1627339800.741394758,-0.023298990
1627339800.766371965,-0.023298990
1627339800.791400909,-0.023298990
1627339800.841367006,-0.023298990
1627339800.866392612,-0.023298990
1627339800.891415834,-0.023298990
1627339800.941370249,-0.023298990
1627339800.966376781,-0.023298990
1627339800.991393328,-0.023298990
1627339801.041389465,-0.023298990
1627339801.066388130,-0.023298990
1627339801.091375589,-0.023298990
1627339801.141393185,-0.023298990
1627339801.166375875,-0.023298990
1627339801.191410303,-0.023298990
1627339801.241416454,-0.023298990
1627339801.266414165,-0.023298990
1627339801.291400194,-0.023298990
1627339801.341407537,-0.023298990
1627339801.366344690,-0.023298990
1627339801.416361809,-0.023298990
1627339801.441395283,-0.023298990
1627339801.466377497,-0.023298990
1627339801.516397238,-0.023298990
1627339801.541368723,-0.023298990
1627339801.566375256,-0.023298990
1627339801.616434097,-0.023298990
1627339801.641392469,-0.023298990
1627339801.666341782,-0.023298990
1627339801.716363430,-0.023298990
1627339801.741373062,-0.023298990
1627339801.766377687,-0.023298990
1627339801.816355228,-0.023298990
1627339801.841405392,-0.023298990
1627339801.866395473,-0.023298990
1627339801.916437864,-0.023298990
1627339801.941397667,-0.023298990
1627339801.966380358,-0.023298990
1627339802.016378880,-0.023298990
1627339802.041376591,-0.023298990
1627339802.066401005,-0.023298990
1627339802.116408825,-0.023298990
1627339802.141401529,-0.023298990
1627339802.166389465,-0.023298990
1627339802.216375589,-0.023298990
1627339802.241380215,-0.023298990
1627339802.266383171,-0.023298990
1627339802.316380978,-0.023298990
1627339802.341397762,-0.023298990
1627339802.366410732,-0.023298990
1627339802.416393518,-0.023298990
1627339802.441383362,-0.023298990
1627339802.466435909,-0.023298990
1627339802.516415358,-0.023298990
1627339802.541369677,-0.023298990
1627339802.566362143,-0.023298990
1627339802.616415977,-0.023298990
1627339802.641395330,-0.023298990
1627339802.666357279,-0.023298990
1627339802.716415644,-0.023298990
1627339802.741398573,-0.023298990
1627339802.766398191,-0.023298990
1627339802.816416025,-0.023298990
1627339802.841377497,-0.023298990
1627339802.866395473,-0.023298990
1627339802.916402102,-0.023298990
1627339802.941389084,-0.023298990
1627339802.966382265,-0.023298990
1627339803.016357899,-0.023298990
1627339803.041433334,-0.023298990
1627339803.066426754,-0.023298990
1627339803.116374016,-0.023298990
1627339803.141395330,-0.023298990
1627339803.191394806,-0.023298990
1627339803.216418982,-0.023298990
1627339803.241363525,-0.023298990
1627339803.291408300,-0.023298990
1627339803.316372395,-0.023298990
1627339803.341374397,-0.023298990
1627339803.391404152,-0.023298990
1627339803.416409731,-0.023298990
1627339803.441385269,-0.023298990
1627339803.491389990,-0.023298990
1627339803.516406298,-0.023298990
1627339803.541410923,-0.023298990
1627339803.591325283,-0.023298990
1627339803.616365433,-0.023298990
1627339803.641377926,-0.023298990
1627339803.691415310,-0.023298990
1627339803.716404438,-0.023298990
1627339803.741385937,-0.023298990
1627339803.791392088,-0.023298990
1627339803.816423416,-0.023298990
1627339803.841411352,-0.023298990
1627339803.891392469,-0.023298990
1627339803.916390419,-0.023298990
1627339803.941423893,-0.023098156
1627339803.991420984,-0.022785777
1627339804.016394377,-0.021960365
1627339804.041410923,-0.020488583
1627339804.091410160,-0.018883783
1627339804.116428137,-0.017814340
1627339804.141415119,-0.016366636
1627339804.191397905,-0.015208858
1627339804.216448545,-0.014340733
1627339804.241393566,-0.014006885
1627339804.291425467,-0.013650808
1627339804.316405535,-0.013027734
1627339804.341386318,-0.012515983
1627339804.391389608,-0.011715082
1627339804.416371822,-0.010936541
1627339804.441456318,-0.010224822
1627339804.491406202,-0.009802278
1627339804.516405344,-0.009290813
1627339804.541465044,-0.008957269
1627339804.591414452,-0.008757150
1627339804.616398573,-0.008601506
1627339804.641407490,-0.008379163
1627339804.691412449,-0.007289772
1627339804.716428041,-0.006467260
1627339804.741447449,-0.005155825
1627339804.791421890,-0.003800079
1627339804.816403151,-0.002399996
1627339804.841379166,-0.001466650
1627339804.891429186,-0.000266662
1627339804.916388750,0.000599991
1627339804.941383600,0.000911098
1627339804.991423130,0.000999986
1627339805.016407728,0.000733322
1627339805.041477203,0.000222219
1627339805.091400623,0.000000000
1627339805.116384745,0.000000000
1627339805.141367674,0.000066666
1627339805.191384792,0.000444437
1627339805.216361046,0.000733322
1627339805.241403818,0.001044430
1627339805.291391134,0.001377762
1627339805.316409349,0.001533317
1627339805.366407871,0.001688873
1627339805.391415119,0.001688873
1627339805.416374922,0.001533317
1627339805.466414452,0.001311095
1627339805.491428852,0.001155540
1627339805.516424894,0.001111096
1627339805.566388845,0.001066652
1627339805.591394424,0.001111096
1627339805.616400957,0.001066652
1627339805.666391373,0.000999986
1627339805.691449404,0.000799988
1627339805.716401339,0.000488881
1627339805.766429424,0.000222219
1627339805.791436434,-0.000177775
1627339805.816453218,-0.000644434
1627339805.866398573,-0.001111096
1627339805.891384125,-0.001222207
1627339805.916419983,-0.001822208
1627339805.966425180,-0.002155546
1627339805.991431475,-0.002399996
1627339806.016400814,-0.002733341
1627339806.066453934,-0.003088914
1627339806.091459990,-0.003288926
