time,latitude,longitude,altitude,variance_latitude,variance_longitude,variance_altitude
1627339798.123414993,42.523291202,-71.601969701,111.981170654,0.001225000,0.001296000,0.004225000
1627339798.133268356,42.523291201,-71.601969701,111.981216431,0.001225000,0.001296000,0.004225000
1627339798.143202066,42.523291200,-71.601969701,111.981269836,0.001225000,0.001296000,0.004225000
1627339798.153316975,42.523291201,-71.601969699,111.981155396,0.001225000,0.001296000,0.004225000
1627339798.163264513,42.523291200,-71.601969699,111.981201172,0.001225000,0.001296000,0.004225000
1627339798.173341990,42.523291199,-71.601969699,111.981254578,0.001225000,0.001296000,0.004225000
1627339798.183206558,42.523291199,-71.601969697,111.981147766,0.001225000,0.001296000,0.004225000
1627339798.193257093,42.523291198,-71.601969697,111.981185913,0.001225000,0.001296000,0.004225000
1627339798.203231335,42.523291197,-71.601969696,111.981224060,0.001225000,0.001296000,0.004225000
1627339798.213346243,42.523291197,-71.601969695,111.981117249,0.001225000,0.001296000,0.004225000
1627339798.223297834,42.523291196,-71.601969694,111.981155396,0.001225000,0.001296000,0.004225000
1627339798.233241081,42.523291196,-71.601969694,111.981193542,0.001225000,0.001296000,0.004225000
1627339798.243168116,42.523291196,-71.601969692,111.981086731,0.001225000,0.001296000,0.004225000
1627339798.253321648,42.523291195,-71.601969692,111.981117249,0.001225000,0.001296000,0.004225000
1627339798.263585329,42.523291194,-71.601969692,111.981155396,0.001225000,0.001296000,0.004225000
1627339798.273180008,42.523291194,-71.601969690,111.981002808,0.001225000,0.001296000,0.004225000
1627339798.283356905,42.523291193,-71.601969690,111.981033325,0.001225000,0.001296000,0.004225000
1627339798.293398857,42.523291192,-71.601969689,111.981063843,0.001225000,0.001296000,0.004225000
1627339798.303370476,42.523291193,-71.601969687,111.980918884,0.001225000,0.001296000,0.004225000
1627339798.313303709,42.523291192,-71.601969687,111.980957031,0.001225000,0.001296000,0.004225000
1627339798.323278189,42.523291191,-71.601969687,111.980987549,0.001225000,0.001296000,0.004225000
1627339798.333231211,42.523291191,-71.601969685,111.980857849,0.001225000,0.001296000,0.004225000
1627339798.343168020,42.523291190,-71.601969685,111.980888367,0.001225000,0.001296000,0.004225000
1627339798.353123665,42.523291190,-71.601969684,111.980926514,0.001225000,0.001296000,0.004225000
1627339798.363368273,42.523291190,-71.601969683,111.980804443,0.001225000,0.001296000,0.004225000
1627339798.373358965,42.523291189,-71.601969682,111.980842590,0.001225000,0.001296000,0.004225000
