time,heading
1627319954.819099665,1.090654854
1627319954.827576876,1.090673612
1627319954.837559700,1.090660156
1627319954.847514868,1.090681692
1627319954.857431889,1.090686969
1627319954.867588758,1.090655057
1627319954.877513409,1.090699408
1627319954.887494326,1.090691293
1627319954.897490263,1.090691936
1627319954.907566786,1.090677551
1627319954.917537928,1.090666780
1627319954.927496910,1.090686736
1627319954.937421322,1.090680568
1627319954.947391748,1.090657020
1627319954.957500696,1.090661406
1627319954.967463493,1.090665998
1627319954.977556229,1.090669885
1627319954.987583637,1.090666384
1627319954.997511864,1.090670081
1627319955.007591009,1.090666280
1627319955.017529964,1.090671235
1627319955.027620792,1.090660836
1627319955.037596226,1.090669107
1627319955.047559738,1.090666058
1627319955.057497263,1.090685289
1627319955.067460299,1.090662925
1627319955.077572107,1.090654019
1627319955.087558270,1.090646055
1627319955.097476244,1.090671113
1627319955.107549191,1.090670344
1627319955.117540121,1.090686301
1627319955.127550364,1.090648983
1627319955.137931585,1.090670419
1627319955.147621155,1.090683530
1627319955.157573938,1.090686533
1627319955.167565346,1.090703780
1627319955.177547455,1.090686764
1627319955.187468529,1.090684059
1627319955.197465181,1.090688509
1627319955.207560539,1.090704025
1627319955.217483044,1.090718531
1627319955.227571964,1.090729809
1627319955.237855911,1.090719688
1627319955.247852087,1.090716538
1627319955.257573366,1.090740755
1627319955.267561436,1.090745412
1627319955.277510405,1.090756849
1627319955.287596226,1.090763737
1627319955.297566652,1.090779207
1627319955.307501078,1.090762320
1627319955.317476749,1.090759820
1627319955.327425003,1.090734204
1627319955.337611675,1.090739851
1627319955.347495556,1.090747977
1627319955.357573748,1.090740631
1627319955.367517948,1.090727459
1627319955.377621174,1.090729932
1627319955.387417793,1.090704503
1627319955.397603512,1.090716598
1627319955.407502890,1.090708043
1627319955.417457342,1.090712628
1627319955.427406549,1.090697915
1627319955.437568665,1.090711960
1627319955.447496891,1.090703148
1627319955.457591772,1.090714945
1627319955.467523575,1.090665530
1627319955.477479219,1.090702283
1627319955.487596512,1.090676407
1627319955.497546196,1.090696379
1627319955.507473469,1.090684902
1627319955.517611027,1.090676596
1627319955.527638435,1.090695104
1627319955.537850142,1.090701486
1627319955.547636747,1.090696294
1627319955.557584286,1.090695363
1627319955.567632437,1.090712360
1627319955.577454567,1.090702156
1627319955.587547302,1.090708846
1627319955.597544909,1.090700246
1627319955.607572556,1.090714521
1627319955.617619038,1.090717114
1627319955.627544641,1.090703288
1627319955.637555122,1.090708734
1627319955.647502422,1.090686362
1627319955.657580614,1.090704547
1627319955.667560577,1.090705389
1627319955.677484035,1.090735589
1627319955.687437057,1.090696191
1627319955.697407961,1.090701464
1627319955.707529306,1.090698595
1627319955.717461824,1.090681530
1627319955.727553606,1.090704247
1627319955.737613916,1.090710200
1627319955.747486591,1.090697157
1627319955.757571697,1.090686334
1627319955.767524004,1.090667540
1627319955.777629137,1.090688662
1627319955.787563801,1.090679428
1627319955.797543049,1.090664251
1627319955.807492733,1.090644948
1627319955.817506313,1.090661427
1627319955.827378035,1.090644892
1627319955.837594509,1.090655763
1627319955.847644567,1.090654245
1627319955.857580423,1.090623720
1627319955.867490530,1.090633670
1627319955.877597809,1.090603591
1627319955.887606621,1.090602635
1627319955.897567511,1.090605579
1627319955.907514095,1.090614364
1627319955.917549133,1.090610889
1627319955.927511215,1.090602985
1627319955.937568426,1.090602008
1627319955.947597742,1.090598473
1627319955.957528591,1.090615452
1627319955.967451334,1.090609266
1627319955.977414131,1.090612836
1627319955.987652063,1.090611913
1627319955.997620106,1.090595716
1627319956.007603168,1.090605106
1627319956.017543554,1.090605923
1627319956.027522326,1.090604346
1627319956.037782669,1.090602617
1627319956.047657728,1.090594749
1627319956.057616711,1.090579016
1627319956.067477703,1.090573840
1627319956.077582598,1.090585424
1627319956.087563992,1.090582564
1627319956.097574949,1.090593509
1627319956.107462168,1.090560456
1627319956.117691278,1.090545521
1627319956.127614975,1.090557943
1627319956.137798309,1.090556130
1627319956.147557020,1.090534020
1627319956.157517910,1.090530120
1627319956.167446613,1.090510448
1627319956.177395582,1.090532352
1627319956.187574625,1.090528727
1627319956.197504044,1.090522541
1627319956.207578897,1.090523164
1627319956.217408419,1.090534896
1627319956.227494478,1.090539144
1627319956.237639666,1.090528671
1627319956.247633219,1.090560562
1627319956.257502556,1.090558155
1627319956.267617464,1.090559989
1627319956.277580500,1.090566867
1627319956.287546158,1.090552316
1627319956.297651768,1.090548129
1627319956.307602882,1.090536261
1627319956.317542076,1.090541198
1627319956.327561140,1.090555855
1627319956.337479830,1.090542513
1627319956.347629547,1.090534865
1627319956.357517004,1.090548421
1627319956.367449284,1.090533314
1627319956.377660275,1.090529533
1627319956.387519121,1.090501358
1627319956.397523165,1.090517151
1627319956.407431126,1.090526912
1627319956.417372465,1.090501352
1627319956.427495003,1.090505233
1627319956.437590122,1.090522878
1627319956.447549343,1.090490084
1627319956.457581282,1.090487010
1627319956.467593431,1.090488508
1627319956.477539539,1.090519903
1627319956.487539053,1.090501991
1627319956.497553349,1.090483601
1627319956.507626772,1.090491963
1627319956.517565727,1.090472881
1627319956.527622938,1.090493637
1627319956.537694454,1.090483242
1627319956.547562599,1.090494721
1627319956.557537079,1.090503582
1627319956.567573309,1.090491424
1627319956.577528715,1.090515775
1627319956.587519169,1.090519363
1627319956.597484589,1.090533089
1627319956.607445478,1.090524115
1627319956.617624760,1.090543083
1627319956.627663136,1.090536044
1627319956.637681723,1.090527676
1627319956.647562265,1.090493070
1627319956.657529354,1.090519353
1627319956.667542934,1.090516342
1627319956.677587509,1.090501892
1627319956.687563419,1.090514316
1627319956.697492123,1.090513217
1627319956.707585335,1.090509539
1627319956.717573404,1.090513553
1627319956.727497578,1.090515683
1627319956.737572432,1.090505433
1627319956.747581005,1.090495781
1627319956.757653952,1.090501691
1627319956.767636061,1.090510234
1627319956.777808905,1.090497677
1627319956.787668467,1.090483329
1627319956.797607183,1.090516706
1627319956.807576418,1.090476846
1627319956.817545414,1.090490993
1627319956.827496529,1.090492450
1627319956.837509394,1.090493215
1627319956.847560167,1.090504187
1627319956.857501984,1.090486337
1627319956.867413759,1.090500859
1627319956.877550840,1.090508743
1627319956.887527704,1.090498683
1627319956.897451639,1.090493342
