time,steering
1627319954.787460566,31.684566071
1627319954.792292833,31.684566071
1627319954.827148676,31.684566071
1627319954.860498667,31.684566071
1627319954.892780304,31.684566071
1627319954.927626371,31.684566071
1627319954.960985661,31.684566071
1627319954.993527174,31.684566071
1627319955.028103113,31.684566071
1627319955.061412096,31.684566071
1627319955.093635798,31.684566071
1627319955.127588511,31.684566071
1627319955.160876274,31.684566071
1627319955.194169760,31.684566071
1627319955.228015423,31.684566071
1627319955.261300564,31.684566071
1627319955.294864893,31.684566071
1627319955.329513550,31.684566071
1627319955.362865925,31.684566071
1627319955.395121336,31.684566071
1627319955.429905891,31.684566071
1627319955.463384628,31.684566071
1627319955.495619774,31.684566071
1627319955.530509233,31.684566071
1627319955.563717127,31.684566071
1627319955.596552134,31.684566071
1627319955.630962610,31.684566071
1627319955.663250208,31.684566071
1627319955.697210789,31.684566071
1627319955.731503725,31.684566071
1627319955.764983416,31.684566071
1627319955.796966076,31.684566071
1627319955.832309961,31.684566071
1627319955.865617514,31.684566071
1627319955.898415327,31.684566071
1627319955.931936502,31.684566071
1627319955.965512514,31.684566071
1627319955.997938395,31.684566071
1627319956.032321453,31.684566071
1627319956.066087484,31.684566071
1627319956.099305153,31.684566071
1627319956.133205175,31.684566071
1627319956.166739225,31.684566071
1627319956.199945450,31.684566071
1627319956.234302759,31.684566071
1627319956.267972946,31.684566071
1627319956.300343037,31.684566071
1627319956.334680080,31.684566071
1627319956.368435860,31.684566071
1627319956.399736881,31.684566071
1627319956.434127331,31.684566071
1627319956.468348980,31.684566071
1627319956.501260519,31.684566071
1627319956.535264254,31.684566071
1627319956.568551779,31.684566071
1627319956.600512505,31.684566071
1627319956.635528088,31.684566071
1627319956.668800116,31.684566071
1627319956.701597452,31.684566071
1627319956.735952616,31.684566071
1627319956.769150257,31.684566071
1627319956.801786423,31.684566071
1627319956.836364985,31.684566071
1627319956.869694233,31.684566071
1627319956.902072668,31.684566071
1627319956.936773300,31.684566071
1627319956.970121145,31.684566071
1627319957.002440214,31.684566071
1627319957.036209822,31.684566071
1627319957.070600510,31.684566071
1627319957.102981806,31.684566071
1627319957.136674166,31.684566071
1627319957.171010733,31.684566071
1627319957.203260899,31.684566071
1627319957.238089085,31.684566071
1627319957.271313906,31.684566071
1627319957.303581953,31.684566071
1627319957.337379456,31.684566071
1627319957.371726274,31.684566071
1627319957.403928280,31.684566071
1627319957.438790560,31.684566071
1627319957.472168207,31.684566071
1627319957.504671097,31.684566071
1627319957.539295912,31.684566071
1627319957.572567463,31.684566071
1627319957.604752541,31.684566071
1627319957.639604568,31.684566071
1627319957.672894716,31.684566071
1627319957.705314159,31.684566071
1627319957.739976883,31.684566071
1627319957.773414135,31.684566071
1627319957.805781841,31.684566071
1627319957.840553999,31.684566071
1627319957.874503851,31.684566071
1627319957.906800508,31.684566071
1627319957.941016674,31.684566071
1627319957.974520683,31.684566071
1627319958.007506847,31.684566071
1627319958.041912556,31.684566071
1627319958.074419975,31.684566071
1627319958.107091427,31.684566071
1627319958.142315388,31.684566071
1627319958.176075697,31.684566071
1627319958.208561182,31.684566071
1627319958.242832184,31.684566071
1627319958.276785612,31.684566071
1627319958.309246063,31.684566071
1627319958.343306541,31.684566071
1627319958.377232313,31.684566071
1627319958.408603668,31.684566071
1627319958.442447901,31.684566071
1627319958.476871252,31.684566071
1627319958.509128332,31.684566071
1627319958.543306828,31.684566071
1627319958.577390909,31.684566071
1627319958.609767914,31.684566071
1627319958.643836260,31.684566071
1627319958.676878691,31.684566071
1627319958.710223436,31.684566071
1627319958.744364500,31.684566071
1627319958.778389454,31.684566071
1627319958.810745001,31.684566071
1627319958.845912933,31.684566071
1627319958.878784657,31.684566071
1627319958.911266565,31.684566071
1627319958.946484566,31.684566071
1627319958.980198383,31.684566071
1627319959.011510849,31.684566071
1627319959.045684099,31.684566071
1627319959.079989672,31.684566071
1627319959.112784386,31.684566071
1627319959.146120071,31.684566071
1627319959.179599762,31.684566071
1627319959.213438988,31.684566071
1627319959.248223543,31.684566071
1627319959.280998707,31.684566071
1627319959.313051939,31.684566071
1627319959.346825838,31.684566071
1627319959.380155325,31.684566071
1627319959.413459539,31.684566071
1627319959.449261904,31.684566071
1627319959.481573582,31.684566071
1627319959.513751984,31.684566071
1627319959.547682285,31.684566071
1627319959.581929207,31.684566071
1627319959.614207506,31.684566071
1627319959.649207354,31.684566071
1627319959.682696819,31.684566071
1627319959.714685678,31.684566071
1627319959.749605179,31.684566071
1627319959.783038616,31.684566071
1627319959.815184593,31.684566071
1627319959.850140572,31.684566071
1627319959.882417917,31.684566071
1627319959.915778875,31.684566071
1627319959.950624466,31.684566071
1627319959.983964443,31.684566071
1627319960.016216278,31.684566071
1627319960.051118851,31.684566071
1627319960.083598375,31.684566071
1627319960.117071390,31.684566071
1627319960.151695728,31.684566071
1627319960.185108423,31.684566071
1627319960.217970610,31.684566071
1627319960.251390219,31.684566071
1627319960.285480022,31.684566071
1627319960.318437099,31.684566071
1627319960.351902008,31.684566071
1627319960.385717154,31.684566071
1627319960.418099165,31.684566071
1627319960.453499317,31.684566071
1627319960.486117125,31.684566071
1627319960.519434690,31.684566071
1627319960.553304672,31.684566071
1627319960.586546183,31.684566071
1627319960.618951321,31.684566071
1627319960.653777599,31.684566071
1627319960.687123537,31.684566071
1627319960.719232082,31.684566071
1627319960.753061533,31.684566071
1627319960.787317991,31.684566071
1627319960.819687843,31.684566071
1627319960.853458166,31.684566071
1627319960.887878895,31.684566071
1627319960.920109272,31.684566071
1627319960.954052448,31.684566071
1627319960.987374544,31.684566071
1627319961.020598412,31.684566071
1627319961.054412127,31.684566071
1627319961.088849783,31.684566071
1627319961.121017694,31.684566071
1627319961.154878378,31.684566071
1627319961.189209461,31.684566071
1627319961.221497536,31.684566071
1627319961.255244493,31.684566071
1627319961.290530205,31.684566071
1627319961.321825743,31.684566071
1627319961.356498480,31.684566071
1627319961.389219761,31.684566071
1627319961.422396660,31.684566071
1627319961.457709312,31.684566071
1627319961.490372181,31.684566071
1627319961.523676157,31.684566071
1627319961.557793140,31.684566071
1627319961.591589689,31.684566071
1627319961.623918533,31.684566071
1627319961.658169031,31.684566071
1627319961.691449404,31.684566071
1627319961.724168062,31.684566071
1627319961.757589817,31.684566071
1627319961.791949987,31.684566071
1627319961.824639797,31.684566071
1627319961.857986927,31.684566071
1627319961.892485380,31.684566071
1627319961.924485683,31.684566071
1627319961.959294319,31.684566071
1627319961.992959976,31.684566071
1627319962.025545835,31.684566071
1627319962.058636189,31.684566071
1627319962.093150139,31.684566071
1627319962.125901699,31.684566071
1627319962.159255028,31.684566071
1627319962.193439245,31.684566071
1627319962.225642204,31.684566071
1627319962.260510206,31.684566071
1627319962.294386625,31.684566071
1627319962.326910257,31.684566071
1627319962.360244036,31.684566071
1627319962.394551039,31.684566071
1627319962.427465916,31.684566071
1627319962.460903645,31.684566071
1627319962.494374752,31.684566071
1627319962.528090000,31.684566071
1627319962.562408209,31.684566071
1627319962.595215321,31.684566071
1627319962.627540350,31.684566071
1627319962.662826061,31.684566071
1627319962.696661472,31.684566071
1627319962.727859974,31.684566071
1627319962.761738539,31.684566071
1627319962.796095133,31.684566071
1627319962.828458548,31.684566071
1627319962.863335371,31.684566071
1627319962.896582842,31.684566071
1627319962.928790808,31.684566071
1627319962.963725328,31.684566071
1627319962.997100592,31.684566071
1627319963.029407978,31.684566071
1627319963.064084053,31.684566071
1627319963.097476959,31.684566071
1627319963.129703522,31.684566071
1627319963.163581610,31.684566071
1627319963.196964264,31.684566071
1627319963.230310678,31.684566071
1627319963.264003515,31.684566071
1627319963.298360825,31.684566071
1627319963.330825329,31.684566071
1627319963.365626812,31.684566071
1627319963.398956299,31.684566071
1627319963.431292295,31.684566071
1627319963.466077328,31.684566071
1627319963.499306440,31.684566071
1627319963.531674623,31.684566071
1627319963.565530539,31.684566071
1627319963.598863840,31.684566071
1627319963.632115602,31.684566071
1627319963.666078806,31.684566071
1627319963.699347734,31.684566071
1627319963.732581854,31.684566071
1627319963.767538071,31.684566071
1627319963.800927401,31.684566071
1627319963.833004475,31.684566071
1627319963.868856192,31.684566071
1627319963.901449203,31.684566071
1627319963.933434963,31.684566071
1627319963.967925310,31.684566071
1627319964.002052069,31.684566071
1627319964.033888817,31.684566071
1627319964.068976402,31.684566071
1627319964.102379560,31.684566071
1627319964.134076595,31.684566071
1627319964.169280052,31.684566071
1627319964.203251839,31.684566071
1627319964.235428095,31.684566071
1627319964.269598484,31.455382953
1627319964.302644730,31.283495614
1627319964.335540056,31.168904055
1627319964.369521141,30.997016717
1627319964.402583599,30.882425158
1627319964.436378717,30.653242039
1627319964.470543861,30.595946260
1627319964.503885746,30.366763142
1627319964.536948442,30.252171583
1627319964.571155548,29.965692685
1627319964.604106188,29.793805347
1627319964.637356997,29.450030670
1627319964.671567202,29.048960213
1627319964.705139875,28.590593977
1627319964.738108158,28.476002418
1627319964.772450686,28.361410859
1627319964.806055307,27.960340402
1627319964.838492393,27.272791048
1627319964.872874260,26.184171237
1627319964.906639338,25.152847206
1627319964.938028336,24.350706293
1627319964.972719669,23.376678041
1627319965.006126165,22.574537128
1627319965.038294077,21.485917317
1627319965.073126793,20.397297507
1627319965.106449127,19.595156593
1627319965.138727665,18.391945224
1627319965.172639370,17.188733854
