time,ax,ay,az,rx,ry,rz,qx,qy,qz,qw
1627319954.8190994,0.10349408771111687,0.09723598038487853,9.80480580855411,0.000470377756714136,-4.8223342793243886e-05,9.736091307524558e-05,-0.007223600021036926,0.001869267617467869,0.5172977135282114,0.8557729845725897
1627319954.8275769,0.1034804538424395,0.0973490037082046,9.804511919281028,0.0004057711357479389,-2.942564239180699e-05,0.0001074939117937843,-0.007223512847159682,0.0018693194328883505,0.5172979928142218,0.8557728163542817
1627319954.8375597,0.10335452908945603,0.09748203818445188,9.803817450114174,0.0003133439444119894,-1.1493702101906182e-05,5.2000404605848496e-05,-0.00722353623943363,0.0018693316021696587,0.5172982782423229,0.8557726435612694
1627319954.8475149,0.10318200989218781,0.09767666720200621,9.803310943847471,0.0002469151683763768,-3.329376507852241e-05,8.573185372195108e-05,-0.007223511063366286,0.001869164546189639,0.517298944424804,0.855772241446852
1627319954.8574317,0.1030933679259171,0.0975449106467117,9.803317456189278,8.67563152770447e-05,1.874209179753459e-05,5.375826570146413e-05,-0.007224069774197119,0.001868873749490417,0.5172995649441189,0.8557718622602511
1627319954.8675888,0.10316487482646812,0.09733047665233852,9.803298005776066,-9.014230303105395e-07,2.978676468518794e-06,1.1701558411622676e-05,-0.007224770691137231,0.0018683640240956447,0.5173001281466224,0.8557715170014218
1627319954.8775132,0.10322590269150742,0.09737589476555722,9.802823873891885,-4.6259829697411746e-05,4.706900215248263e-05,4.90515502065461e-05,-0.007225624016534199,0.0018679614410093324,0.517301002484179,0.855770982150804
1627319954.8874943,0.10321677634316823,0.09744697929980879,9.80210568256017,-0.0001427046312436198,5.012650031143589e-06,1.7279024671168715e-05,-0.007226657486124853,0.0018671629363433125,0.5173017499139317,0.8557705233397469
1627319954.8974903,0.10319948410098752,0.09760929340532343,9.801927016093172,-0.00029141441697241383,-3.771165682337536e-05,3.797535443286437e-05,-0.007228119898862552,0.0018658347839019761,0.5173026330491078,0.8557699800430907
1627319954.9075668,0.10328467503911007,0.09767397231569262,9.801981306763167,-0.0003202995859761513,-7.320311282767683e-05,-1.1835833959728312e-05,-0.007229526730919929,0.0018643043281259006,0.5173033849340035,0.8557695169705772
1627319954.917538,0.10335581260551888,0.09808512085642787,9.801914430981498,-0.00036568823035487523,-5.9812633490100725e-05,-7.80168112509411e-06,-0.0072311098170343546,0.0018627389457391398,0.5173041349886739,0.8557690535847771
1627319954.927497,0.1033581289806428,0.09881649515385083,9.80140251934604,-0.0003475982884568227,-3.883726041054022e-05,-9.954797578869436e-07,-0.007232619536228953,0.0018613143509340862,0.5173049350480247,0.8557685602754096
1627319954.937421,0.10330064098070647,0.09972241942047627,9.801220522461684,-0.0003481198258344384,-4.009401708507909e-05,-7.222747199470407e-05,-0.007234076377223384,0.0018598935154731321,0.5173054964038368,0.8557682116902919
1627319954.9473917,0.10331449018991028,0.10074076262670566,9.801632193306792,-0.0003931254690301075,-7.611792686674307e-05,-4.8629108353754366e-05,-0.007235610159227401,0.0018582157244672153,0.5173061111254249,0.8557678307350749
1627319954.9575005,0.10341366420881255,0.10166732994506353,9.802183459433845,-0.0002974358399195876,-7.2342528951841766e-06,-8.55819926283238e-05,-0.007236890401537726,0.0018570999224159484,0.5173065772632202,0.8557675405528655
1627319954.9674633,0.10351344721282364,0.10295789801776312,9.802243741468999,-0.0003763381044153603,3.9488734002897984e-05,-5.459476571015559e-05,-0.00723860368347214,0.0018559834483884046,0.5173072219963268,0.8557671387527036
1627319954.9775562,0.1036271999012581,0.10425104648360005,9.80204302235234,-0.00036282161035483,2.1565478058393288e-05,-1.5344416621785686e-05,-0.007240207135990929,0.0018548270169371835,0.517307977168529,0.8557666712038658
1627319954.9875836,0.1037555352025758,0.10534591442852088,9.802485998429407,-0.00035344198065702723,-9.658378184990415e-06,5.39490352825527e-06,-0.0072416802780273385,0.0018535569380926692,0.5173088189882422,0.8557661526338671
1627319954.9975116,0.10408244435674902,0.10613531016463876,9.803026399868575,-0.00030544167873912414,-3.329046585118666e-05,9.884539749123418e-06,-0.007242863741096819,0.0018523052630322846,0.5173097082276783,0.8557656077970567
1627319955.007591,0.10438183035200699,0.10679703268710658,9.803229261845095,-0.00029645797509589067,-4.5927227365812344e-05,2.4619647432884596e-05,-0.007243970624973206,0.0018510239620403762,0.5173106086638047,0.855765056889967
1627319955.01753,0.10461355471233588,0.107454166172543,9.802983292158169,-0.00024987937379952345,-4.813185666797609e-05,1.9505087551617554e-05,-0.007244855855962597,0.001849852118122119,0.5173114837703798,0.8557645229583437
1627319955.0276208,0.10470772268391827,0.10793098533554583,9.802852454381009,-0.00027683243348360407,-6.718902921176197e-05,2.9521556880984323e-05,-0.007245802940779457,0.0018485374839127611,0.517312430219931,0.8557639456602959
1627319955.0375962,0.10466853113561109,0.10799916075856497,9.803232028459595,-0.00023500975347479346,-3.9324626390788134e-05,3.951670300467644e-05,-0.007246648853821179,0.0018474589474432189,0.517313356445457,0.8557633809152564
1627319955.0475597,0.10448086301198978,0.10782217532156459,9.803532807757183,-0.00021524861926899526,-6.045481494352717e-05,5.127302564499673e-05,-0.007247342694669005,0.0018463354396189857,0.5173143224454039,0.8557627935259463
1627319955.0574973,0.10417200865964357,0.10777096831556232,9.803482962807898,-0.00020953745439111155,-7.714848352029256e-05,7.289102263813725e-05,-0.007247957592155783,0.0018451431831160432,0.5173154095561892,0.8557621337372371
1627319955.06746,0.10363461049570864,0.10775857853942647,9.803320938793632,-0.00014586740322127616,-0.00010040025117740678,6.3934219982367474e-06,-0.007248245298502837,0.0018440254077371613,0.5173161507557132,0.8557616856789158
1627319955.0775719,0.10301407583658245,0.10772651553523296,9.803569872668811,-7.220823261475937e-05,-8.445010410304496e-05,-5.892076747668286e-06,-0.007248258167906622,0.001843166991147553,0.5173168271871895,0.8557612785196177
1627319955.087558,0.10244319319930889,0.10749507871723935,9.803870945313552,-7.040179928897441e-05,-3.482668389055961e-05,1.7659827011870083e-05,-0.0072483869213368635,0.001842526956879459,0.5173176416092307,0.855760786481626
1627319955.0974762,0.10187423559227614,0.10738821269145851,9.803872118113626,7.043857853763519e-05,-4.136897367517702e-06,5.492348355551771e-05,-0.007248011385458784,0.0018423775687142643,0.5173185526370659,0.8557602392454697
1627319955.1075492,0.10126847539867691,0.10750366083624763,9.803078739634566,0.0001743071448645024,-6.0984570097521895e-05,6.03176805391088e-05,-0.007247048105278313,0.0018422587349078163,0.5173194669913186,0.8557596949171671
1627319955.11754,0.10063011268889527,0.10765046966768925,9.802462685230577,0.00018611211604273824,-6.484032058125518e-05,6.884578896401079e-05,-0.007246023593493579,0.0018421593208917046,0.5173204458795053,0.8557591120339382
1627319955.1275504,0.1000465735199397,0.10742961424604887,9.80202769618069,0.00022849566424460718,-0.00010590315201928883,4.790764181064217e-05,-0.007244715611739855,0.001842001136115334,0.5173212845517046,0.8557586164161725
1627319955.1379316,0.09949630756588514,0.10710757249636203,9.801647422972932,0.0002676924142726864,-1.9764877022626677e-05,9.863056363179718e-05,-0.007243469517497005,0.0018423120791337334,0.517322326790097,0.8557579962051028
1627319955.1476212,0.09907958075149534,0.10676358428632786,9.800654226270511,0.00027959990029489403,1.6022148516607324e-05,0.00011274677353580145,-0.0072422742537253185,0.001842793943580192,0.517323447369505,0.8557573278252729
1627319955.1575742,0.09880010438788207,0.1063110101414004,9.799507458664838,0.000296392023848763,6.188250684775432e-05,8.687429026035196e-05,-0.007241129585829538,0.0018435162939071997,0.5173244103287143,0.8557567537879027
1627319955.167565,0.09873010181242009,0.10537759336203412,9.79886018397003,0.0003036640882186077,0.00012030577690384442,4.8383488316258896e-05,-0.007240114280092334,0.0018445113683206887,0.517325201716154,0.8557562818015736
1627319955.1775475,0.0989422185893388,0.10397521500287701,9.798532023647219,0.00022240932985350396,0.00010253156368367382,4.101817270329785e-05,-0.007239414527578997,0.0018452139600136552,0.517325990550573,0.8557558093161541
1627319955.1874685,0.09958406881202927,0.10242911474446541,9.79805821647708,0.00023039775273248842,0.00012007881891903482,7.113527194785413e-05,-0.007238717606356527,0.0018460074238751316,0.5173268686790361,0.855755282650257
1627319955.1974652,0.1004346781509102,0.10092887997034418,9.79756917673265,0.0002366211865665875,0.00017551230299757745,9.417210368292588e-05,-0.00723814180314575,0.0018470454507019073,0.5173278375334414,0.8557546995903776
1627319955.2075603,0.1014383638863934,0.0993274261430494,9.797417479309265,0.00016692860167853084,0.0002503556563825553,0.00013076524769324902,-0.007238058421902331,0.0018482121651463852,0.5173289793350777,0.8557540075437238
1627319955.2174828,0.10263540139508502,0.09733945390064855,9.798086610284727,0.00021654110632207284,0.00030605066309520015,9.162706508841946e-05,-0.007237897867857276,0.0018497485776918315,0.5173299050418947,0.8557534459715495
1627319955.2275717,0.10402120185484154,0.09550031410986919,9.798977984014854,0.00023301920842021587,0.00029382644627418673,6.637744674246884e-05,-0.007237647815577218,0.0018512831886998396,0.5173307128684801,0.8557529564198354
1627319955.237856,0.10547925587874592,0.09414252165164079,9.799868376538729,0.0002001614999306673,0.0002626085686019364,4.230341583775665e-05,-0.007237464339522269,0.0018526010298461986,0.5173314390853767,0.8557525160897955
1627319955.247852,0.10675365698564132,0.09325013046702255,9.801020310288589,0.00019538876693185592,0.00028320571478959955,4.640982112038149e-05,-0.0072373476858830655,0.0018539899581252095,0.517332135267313,0.855752093189807
1627319955.2575731,0.10787446181745235,0.09249367719581111,9.802828297373532,0.00019308459502716797,0.00035698153542652747,3.208338015911223e-05,-0.007237426849602354,0.001855691706636714,0.5173327565870889,0.8557517132171667
1627319955.2675612,0.10884259760186833,0.09196869521690682,9.80461971845253,0.00013877345260455507,0.0003089524590620945,3.879670465925524e-05,-0.007237626741063179,0.0018570478179995586,0.5173334255315485,0.8557513041959335
1627319955.2775104,0.109732409649775,0.09205735508655849,9.806287228218117,6.479776899555259e-05,0.0003188149676015401,2.228109216952063e-05,-0.007238166451230647,0.001858253370880655,0.5173339817874759,0.8557509607428153
1627319955.2875962,0.11039191304133214,0.09269229954710494,9.807575341611697,3.560381311585803e-05,0.000301438241981005,-4.003779510130074e-05,-0.00723878671570605,0.0018593264399207536,0.5173342587714624,0.8557507857449016
1627319955.2975667,0.11070342638448444,0.09369235760475075,9.808684084427723,2.002997779601837e-05,0.00019142438121912955,-6.0910218672315916e-05,-0.007239181721338228,0.001859890117456086,0.5173344584645229,0.8557506604733965
1627319955.307501,0.1106897467553897,0.09466533431613916,9.809992673475652,-8.556968197019622e-05,0.00014966289102763745,-0.0001433269124829244,-0.0072399111520819,0.0018600087005965597,0.5173342669612491,0.855750769828422
1627319955.3174767,0.11051070892613393,0.09596211172976538,9.810748294020458,-0.00017180769422915661,8.159131486836475e-05,-0.00014433262054122867,-0.007240832320714654,0.0018596084108870776,0.5173340566485939,0.8557508900503684
1627319955.327425,0.11005582738358612,0.09749786720937248,9.811015820014818,-0.00026080034570005837,3.2309178791496946e-05,-0.00015890179477427165,-0.007242013245369382,0.0018587593852924394,0.5173337991674378,0.8557510375501152
1627319955.3376114,0.10933602654294872,0.0991003794868294,9.810882939962925,-0.00028654224714598747,4.7307735744719285e-05,-0.00013865906134231617,-0.0072433364862683515,0.0018579163489682421,0.5173335972699169,0.8557511502222807
1627319955.3474958,0.10836379429268225,0.1003998469488228,9.810758213161233,-0.00029920535244620073,-3.7741896966455324e-06,-0.00011256273792820958,-0.007244573821925699,0.0018568243719005305,0.5173334983808454,0.8557512018908959
1627319955.3575737,0.1072072200349662,0.10153440635507856,9.810373130180675,-0.00043216637530605327,-9.20156808763423e-05,-5.13719883896689e-05,-0.007246146211128131,0.0018550040827656697,0.517333670392451,0.8557510885197104
1627319955.3675182,0.10608662188004309,0.10258136337790016,9.809634763248912,-0.000416812837855472,-0.0001491494758580588,-5.085473117318626e-05,-0.007247502143443804,0.0018529868071960444,0.5173337955361152,0.8557510057452674
1627319955.3776212,0.10484063736693423,0.10376565029941584,9.808487920950835,-0.0004472221935488197,-0.00021203919192431346,1.5139247283602481e-05,-0.007248817124251232,0.001850610885132317,0.5173341847684879,0.8557507644314468
1627319955.3874176,0.10361874792659861,0.10461860385773264,9.807251404512417,-0.0004681484889793432,-0.0002732370744454665,4.169683910698143e-05,-0.007250050506769116,0.0018479096568380668,0.5173347027026413,0.8557504467029045
1627319955.3976035,0.10254476811607809,0.10520943593365949,9.806280129682516,-0.0004279342417582054,-0.00026416194263017683,9.417943820414065e-05,-0.007251144637181279,0.0018453512979411675,0.5173354106165049,0.8557500150009977
1627319955.4075027,0.10174019093394078,0.10570709595675315,9.804862290261923,-0.00036445261938579745,-0.00027399081838149126,7.687670115212643e-05,-0.007251945405497447,0.0018429205947920165,0.5173360344582153,0.8557496363349377
1627319955.4174573,0.10105773831071121,0.10638334383668481,9.803362547975226,-0.00033548672486502816,-0.00022873335900141297,5.4977975102077356e-05,-0.007252737634848747,0.0018407493033366824,0.5173365837136807,0.8557493022517064
1627319955.4274063,0.10041797007392199,0.10696971358390575,9.801477852579769,-0.00022877153499565087,-0.0002146169789546075,-3.690251069965545e-06,-0.0072531211157038,0.001838927482314008,0.5173368530699657,0.8557491400780883
1627319955.4375687,0.09984139778734089,0.10749233846739707,9.799975454070893,-0.0001982127061304007,-0.00021496809636491478,3.285236465474982e-05,-0.007253369293567381,0.00183718991612039,0.5173372745841837,0.8557488868557283
1627319955.447497,0.09943157174782521,0.10765362189246004,9.798659146786658,-0.000213479159600098,-0.00019949618695889296,1.7788944091398862e-06,-0.007253714330564027,0.0018354838111267052,0.5173375815849314,0.8557487019940988
1627319955.4575918,0.09924153551089782,0.10796882599692771,9.797412327402421,-0.00013976486944209602,-0.00020762281131733536,-1.0051096715272588e-05,-0.007253717546490748,0.0018339293622832353,0.5173378058045878,0.8557485697668977
1627319955.4675236,0.09908009116525857,0.1082291592600239,9.796197254955501,-0.00010481417408268616,-0.0002749187980073281,-2.6340155236501532e-05,-0.007253397223810451,0.001832186050820537,0.5173379380273868,0.8557484962698015
1627319955.477479,0.09906483359871296,0.10825458221359768,9.795610467575118,-5.93817400620232e-05,-0.0001708475854480179,2.7505502780494537e-05,-0.007253155216907386,0.00183098990174626,0.5173383098484435,0.855748276111767
