time,latitude,longitude,altitude,variance_latitude,variance_longitude,variance_altitude
1627319954.819165707,42.523270756,-71.601932506,111.855583191,0.000000000,0.000000000,0.000000000
1627319954.827571630,42.523270756,-71.601932506,111.855598450,0.000000000,0.000000000,0.000000000
1627319954.837526560,42.523270756,-71.601932505,111.855613708,0.000000000,0.000000000,0.000000000
1627319954.847471237,42.523270756,-71.601932505,111.855529785,0.000000000,0.000000000,0.000000000
1627319954.857406616,42.523270756,-71.601932504,111.855545044,0.000000000,0.000000000,0.000000000
1627319954.867545128,42.523270756,-71.601932504,111.855560303,0.000000000,0.000000000,0.000000000
1627319954.877484322,42.523270757,-71.601932504,111.855499268,0.000000000,0.000000000,0.000000000
1627319954.887454271,42.523270757,-71.601932503,111.855506897,0.000000000,0.000000000,0.000000000
1627319954.897449493,42.523270757,-71.601932503,111.855522156,0.000000000,0.000000000,0.000000000
1627319954.907536030,42.523270758,-71.601932503,111.855461121,0.000000000,0.000000000,0.000000000
1627319954.917484999,42.523270757,-71.601932503,111.855476379,0.000000000,0.000000000,0.000000000
1627319954.927447081,42.523270757,-71.601932502,111.855484009,0.000000000,0.000000000,0.000000000
1627319954.937382698,42.523270758,-71.601932502,111.855422974,0.000000000,0.000000000,0.000000000
1627319954.947349787,42.523270758,-71.601932502,111.855430603,0.000000000,0.000000000,0.000000000
1627319954.957449913,42.523270758,-71.601932501,111.855445862,0.000000000,0.000000000,0.000000000
1627319954.967417717,42.523270758,-71.601932502,111.855392456,0.000000000,0.000000000,0.000000000
1627319954.977523565,42.523270758,-71.601932501,111.855400085,0.000000000,0.000000000,0.000000000
1627319954.987539530,42.523270758,-71.601932501,111.855415344,0.000000000,0.000000000,0.000000000
1627319954.997457266,42.523270759,-71.601932501,111.855361938,0.000000000,0.000000000,0.000000000
1627319955.007540703,42.523270759,-71.601932500,111.855377197,0.000000000,0.000000000,0.000000000
1627319955.017494917,42.523270759,-71.601932500,111.855384827,0.000000000,0.000000000,0.000000000
1627319955.027578831,42.523270759,-71.601932500,111.855308533,0.000000000,0.000000000,0.000000000
1627319955.037552118,42.523270759,-71.601932499,111.855323792,0.000000000,0.000000000,0.000000000
1627319955.047525167,42.523270759,-71.601932499,111.855339050,0.000000000,0.000000000,0.000000000
1627319955.057458878,42.523270760,-71.601932499,111.855270386,0.000000000,0.000000000,0.000000000
1627319955.067415714,42.523270760,-71.601932499,111.855278015,0.000000000,0.000000000,0.000000000
1627319955.077527046,42.523270760,-71.601932498,111.855293274,0.000000000,0.000000000,0.000000000
1627319955.087485075,42.523270760,-71.601932498,111.855224609,0.000000000,0.000000000,0.000000000
1627319955.097430229,42.523270760,-71.601932498,111.855239868,0.000000000,0.000000000,0.000000000
