#frame_num,ros_time
0,1627319608.806343
1,1627319608.82862
2,1627319608.8626869
3,1627319608.896416
4,1627319608.9292881
5,1627319608.963158
6,1627319608.995827
7,1627319609.02974
8,1627319609.062511
9,1627319609.096412
10,1627319609.129253
11,1627319609.163134
12,1627319609.195874
13,1627319609.229799
14,1627319609.262557
15,1627319609.296348
16,1627319609.329189
17,1627319609.363061
18,1627319609.395779
19,1627319609.42968
20,1627319609.462539
21,1627319609.496339
22,1627319609.5291688
23,1627319609.563166
24,1627319609.5958278
25,1627319609.629734
26,1627319609.662575
27,1627319609.696343
28,1627319609.7291179
29,1627319609.76312
30,1627319609.7958288
31,1627319609.8297222
32,1627319609.862555
33,1627319609.8964062
34,1627319609.9292278
35,1627319609.963181
36,1627319609.9958289
37,1627319610.029658
38,1627319610.062465
39,1627319610.096225
40,1627319610.129117
41,1627319610.163105
42,1627319610.19576
43,1627319610.229721
44,1627319610.262476
45,1627319610.296246
46,1627319610.329079
47,1627319610.363038
48,1627319610.395791
49,1627319610.429716
50,1627319610.46244
51,1627319610.49625
52,1627319610.529211
53,1627319610.563145
54,1627319610.595944
55,1627319610.6299279
56,1627319610.662669
57,1627319610.696429
58,1627319610.729229
59,1627319610.762961
60,1627319610.795707
61,1627319610.829679
62,1627319610.862488
63,1627319610.896255
64,1627319610.929193
65,1627319610.962985
66,1627319610.995814
67,1627319611.0296881
68,1627319611.062475
69,1627319611.096309
70,1627319611.129105
71,1627319611.163035
72,1627319611.195821
73,1627319611.2296429
74,1627319611.2624881
75,1627319611.296189
76,1627319611.3290071
77,1627319611.3629699
78,1627319611.395717
79,1627319611.429654
80,1627319611.462386
81,1627319611.496323
82,1627319611.52912
83,1627319611.562917
84,1627319611.595784
85,1627319611.629647
86,1627319611.662411
87,1627319611.696239
88,1627319611.72913
89,1627319611.762953
90,1627319611.795826
91,1627319611.829716
92,1627319611.862416
93,1627319611.896267
94,1627319611.929126
95,1627319611.9630551
96,1627319611.995743
97,1627319612.029753
98,1627319612.062495
99,1627319612.096376
100,1627319612.1291919
101,1627319612.1629882
102,1627319612.195736
103,1627319612.2298288
104,1627319612.26245
105,1627319612.296221
106,1627319612.329177
107,1627319612.3630269
108,1627319612.39572
109,1627319612.429608
110,1627319612.462529
111,1627319612.496358
112,1627319612.529144
113,1627319612.563011
114,1627319612.5957491
115,1627319612.629673
116,1627319612.662414
117,1627319612.696292
118,1627319612.729083
119,1627319612.763062
120,1627319612.79577
121,1627319612.829644
122,1627319612.8625581
123,1627319612.896233
124,1627319612.9290519
125,1627319612.963043
126,1627319612.995786
127,1627319613.029658
128,1627319613.0624971
129,1627319613.096251
130,1627319613.129067
131,1627319613.1630108
132,1627319613.195682
133,1627319613.2301571
134,1627319613.2623641
135,1627319613.29636
136,1627319613.329103
137,1627319613.3629901
138,1627319613.395731
139,1627319613.429975
140,1627319613.4624631
141,1627319613.49631
142,1627319613.529118
143,1627319613.563009
144,1627319613.59584
145,1627319613.629563
146,1627319613.6625051
147,1627319613.696219
148,1627319613.729048
149,1627319613.763017
150,1627319613.795817
151,1627319613.8296778
152,1627319613.86239
153,1627319613.8964288
154,1627319613.929143
155,1627319613.963058
156,1627319613.9957962
157,1627319614.029659
158,1627319614.062485
159,1627319614.096409
160,1627319614.129056
161,1627319614.1630301
162,1627319614.1957061
163,1627319614.229707
164,1627319614.262463
165,1627319614.296314
166,1627319614.329037
167,1627319614.3630302
168,1627319614.395802
169,1627319614.429641
170,1627319614.4624689
171,1627319614.496355
172,1627319614.529192
173,1627319614.563078
174,1627319614.59581
175,1627319614.629934
176,1627319614.662424
177,1627319614.6962981
178,1627319614.7291632
179,1627319614.762995
180,1627319614.7958438
181,1627319614.829706
182,1627319614.862473
183,1627319614.896338
184,1627319614.928976
185,1627319614.963007
