time,curvature
1627319604.801463604,-0.116377942
1627319604.826377630,-0.116377942
1627319604.851384163,-0.116377942
1627319604.901439190,-0.116377942
1627319604.926380873,-0.116377942
1627319604.951401472,-0.116377942
1627319605.001407862,-0.116377942
1627319605.026367426,-0.116377942
1627319605.076338768,-0.116377942
1627319605.101385355,-0.116377942
1627319605.126377821,-0.116377942
1627319605.151399851,-0.116377942
1627319605.201430321,-0.116377942
1627319605.226406574,-0.116377942
1627319605.276423931,-0.116377942
1627319605.301445007,-0.116377942
1627319605.326425076,-0.116377942
1627319605.376425266,-0.116377942
1627319605.401442528,-0.116377942
1627319605.426400423,-0.116377942
1627319605.476430893,-0.116377942
1627319605.501453400,-0.116377942
1627319605.526410818,-0.116377942
1627319605.576371908,-0.116377942
1627319605.601440191,-0.116377942
1627319605.626393795,-0.116377942
1627319605.676441908,-0.116377942
1627319605.701442719,-0.116377942
1627319605.726402521,-0.116377942
1627319605.776358843,-0.116377942
1627319605.801428318,-0.116377942
1627319605.826416731,-0.116377942
1627319605.876393557,-0.116377942
1627319605.901449442,-0.116377942
1627319605.926403284,-0.116377942
1627319605.976430416,-0.116377942
1627319606.001426935,-0.116377942
1627319606.026415586,-0.116377942
1627319606.076405287,-0.116377942
1627319606.101392031,-0.116377942
1627319606.126394272,-0.116377942
1627319606.176393270,-0.116377942
1627319606.201441050,-0.116377942
1627319606.226410389,-0.116377942
1627319606.276439667,-0.116377942
1627319606.301463366,-0.116377942
1627319606.326435804,-0.116377942
1627319606.376430750,-0.116377942
1627319606.401469469,-0.116377942
1627319606.426379204,-0.116377942
1627319606.476404667,-0.116377942
1627319606.501401663,-0.116377942
1627319606.526421309,-0.116377942
1627319606.576423407,-0.116377942
1627319606.601410627,-0.116377942
1627319606.626398325,-0.116377942
1627319606.676387072,-0.116377942
1627319606.701412678,-0.116377942
1627319606.726399660,-0.116377942
1627319606.776395798,-0.116377942
1627319606.801405668,-0.116377942
1627319606.826402426,-0.116377942
1627319606.876410723,-0.116377942
1627319606.901385546,-0.116377942
1627319606.926390886,-0.116377942
1627319606.976373434,-0.116377942
1627319607.001390934,-0.116377942
1627319607.026377678,-0.116377942
1627319607.076423883,-0.116377942
1627319607.101414442,-0.116377942
1627319607.151414633,-0.116377942
1627319607.176408052,-0.116377942
1627319607.201402187,-0.116377942
1627319607.251424313,-0.116377942
1627319607.276394367,-0.116377942
1627319607.301435471,-0.116377942
1627319607.351418972,-0.116377942
1627319607.376408339,-0.116377942
1627319607.401412249,-0.116377942
1627319607.451421499,-0.116377942
1627319607.476423502,-0.116377942
1627319607.501471519,-0.116377942
1627319607.551431179,-0.116377942
1627319607.576421261,-0.116377942
1627319607.601404667,-0.116377942
1627319607.651435137,-0.116377942
1627319607.676401377,-0.116377942
1627319607.701429129,-0.116377942
1627319607.751454353,-0.116377942
1627319607.776433706,-0.116377942
1627319607.801422119,-0.116377942
1627319607.851422310,-0.116377942
1627319607.876401901,-0.116377942
1627319607.901422501,-0.116377942
1627319607.951426029,-0.116377942
1627319607.976383686,-0.116377942
1627319608.001435280,-0.116377942
1627319608.051463604,-0.116377942
1627319608.076407194,-0.116377942
1627319608.101422071,-0.116377942
1627319608.151435614,-0.116377942
1627319608.176393270,-0.116377942
1627319608.201425791,-0.116377942
1627319608.251420498,-0.116377942
1627319608.276426077,-0.116377942
1627319608.301420689,-0.116377942
1627319608.351433277,-0.116377942
1627319608.376382828,-0.116377942
1627319608.401427507,-0.116377942
1627319608.451434851,-0.116377942
1627319608.476408243,-0.116377942
1627319608.501408815,-0.116377942
1627319608.551409721,-0.116377942
1627319608.576374531,-0.116377942
1627319608.601379871,-0.116377942
1627319608.651405811,-0.116377942
1627319608.676399231,-0.116377942
1627319608.701438904,-0.116377942
1627319608.751435041,-0.116377942
1627319608.776399374,-0.116377942
1627319608.801410675,-0.116377942
1627319608.851480007,-0.116377942
1627319608.876400471,-0.116377942
1627319608.926396847,-0.116377942
1627319608.951435328,-0.116377942
1627319608.976372719,-0.116377942
1627319609.026403189,-0.116377942
1627319609.051434755,-0.116377942
1627319609.076395273,-0.116377942
1627319609.126357317,-0.116377942
1627319609.151417732,-0.116377942
1627319609.176364422,-0.116377942
1627319609.226321220,-0.116377942
1627319609.251453400,-0.116377942
1627319609.276384115,-0.116377942
1627319609.326324940,-0.116377942
1627319609.351412535,-0.116377942
1627319609.376397133,-0.116377942
1627319609.426333666,-0.116377942
1627319609.451401949,-0.116377942
1627319609.476384640,-0.116377942
1627319609.526390553,-0.116377942
1627319609.551449776,-0.116377942
1627319609.576377869,-0.116377942
1627319609.626334667,-0.116377942
1627319609.651426315,-0.116377942
1627319609.676432610,-0.116377942
1627319609.726384163,-0.116377942
1627319609.751420975,-0.116377942
1627319609.776377439,-0.116377942
1627319609.826404572,-0.116377942
1627319609.851447344,-0.116377942
1627319609.876420975,-0.116377942
1627319609.926376820,-0.116377942
1627319609.951423407,-0.116377942
1627319609.976382732,-0.116377942
1627319610.026387215,-0.116377942
