time,steering
1627319604.751190186,-290.145827454
1627319604.782929182,-290.145827454
1627319604.815921068,-290.145827454
1627319604.850056410,-290.145827454
1627319604.883779764,-290.145827454
1627319604.916393518,-290.145827454
1627319604.950569868,-290.145827454
1627319604.983880043,-290.145827454
1627319605.016989946,-290.145827454
1627319605.051217079,-290.145827454
1627319605.084446192,-290.145827454
1627319605.117387772,-290.145827454
1627319605.150759935,-290.145827454
1627319605.184566736,-290.145827454
1627319605.216876745,-290.145827454
1627319605.251458645,-290.145827454
1627319605.285164595,-290.145827454
1627319605.317462206,-290.145827454
1627319605.353219271,-290.145827454
1627319605.386631489,-290.145827454
1627319605.417819977,-290.145827454
1627319605.452562332,-290.145827454
1627319605.485873222,-290.145827454
1627319605.518157959,-290.145827454
1627319605.553008080,-290.145827454
1627319605.585333586,-290.145827454
1627319605.618662357,-290.145827454
1627319605.653603792,-290.145827454
1627319605.686849117,-290.145827454
1627319605.718942642,-290.145827454
1627319605.752865553,-290.145827454
1627319605.787284136,-290.145827454
1627319605.819538355,-290.145827454
1627319605.853362799,-290.145827454
1627319605.886611462,-290.145827454
1627319605.919984579,-290.145827454
1627319605.954819918,-290.145827454
1627319605.988151550,-290.145827454
1627319606.020444393,-290.145827454
1627319606.054231405,-290.145827454
1627319606.087407589,-290.145827454
1627319606.120835066,-290.145827454
1627319606.154580593,-290.145827454
1627319606.187932014,-290.145827454
1627319606.221285820,-290.145827454
1627319606.255087376,-290.145827454
1627319606.289440870,-290.145827454
1627319606.321817398,-290.145827454
1627319606.356698036,-290.145827454
1627319606.388883591,-290.145827454
1627319606.422311306,-290.145827454
1627319606.456195831,-290.145827454
1627319606.489445925,-290.145827454
1627319606.522781610,-290.145827454
1627319606.557556391,-290.145827454
1627319606.590930700,-290.145827454
1627319606.622978449,-290.145827454
1627319606.656971216,-290.145827454
1627319606.692318916,-290.145827454
1627319606.723674059,-290.145827454
1627319606.758966208,-290.145827454
1627319606.790827990,-290.145827454
1627319606.824226141,-290.145827454
1627319606.859739065,-290.145827454
1627319606.893113375,-290.145827454
1627319606.924958944,-290.145827454
1627319606.959779978,-290.145827454
1627319606.992911816,-290.145827454
1627319607.025959253,-290.145827454
1627319607.059075832,-290.145827454
1627319607.092645407,-290.145827454
1627319607.126565456,-290.145827454
1627319607.159931660,-290.145827454
1627319607.193236351,-290.145827454
