time,latitude,longitude,altitude,variance_latitude,variance_longitude,variance_altitude
1627319604.887134552,42.523283030,-71.602058779,115.178672791,0.000000000,0.000000000,0.000000000
1627319604.897259235,42.523283031,-71.602058785,115.178871155,0.000000000,0.000000000,0.000000000
1627319604.907211542,42.523283031,-71.602058785,115.178985596,0.000000000,0.000000000,0.000000000
1627319604.917093992,42.523283031,-71.602058786,115.179084778,0.000000000,0.000000000,0.000000000
1627319604.927242756,42.523283032,-71.602058792,115.179283142,0.000000000,0.000000000,0.000000000
1627319604.937228680,42.523283033,-71.602058792,115.179389954,0.000000000,0.000000000,0.000000000
1627319604.947199106,42.523283033,-71.602058793,115.179489136,0.000000000,0.000000000,0.000000000
1627319604.957107782,42.523283034,-71.602058798,115.179687500,0.000000000,0.000000000,0.000000000
1627319604.967234373,42.523283034,-71.602058799,115.179794312,0.000000000,0.000000000,0.000000000
1627319604.977200985,42.523283034,-71.602058799,115.179893494,0.000000000,0.000000000,0.000000000
1627319604.987271786,42.523283035,-71.602058805,115.180091858,0.000000000,0.000000000,0.000000000
1627319604.997092009,42.523283035,-71.602058806,115.180198669,0.000000000,0.000000000,0.000000000
1627319605.007686853,42.523283035,-71.602058806,115.180305481,0.000000000,0.000000000,0.000000000
1627319605.017263174,42.523283041,-71.602058813,115.179672241,0.000000000,0.000000000,0.000000000
1627319605.027248144,42.523283041,-71.602058814,115.179779053,0.000000000,0.000000000,0.000000000
1627319605.037224531,42.523283041,-71.602058814,115.179893494,0.000000000,0.000000000,0.000000000
1627319605.047206879,42.523283047,-71.602058821,115.179290771,0.000000000,0.000000000,0.000000000
1627319605.057253838,42.523283047,-71.602058822,115.179397583,0.000000000,0.000000000,0.000000000
1627319605.067335129,42.523283047,-71.602058822,115.179504395,0.000000000,0.000000000,0.000000000
1627319605.077183962,42.523283053,-71.602058829,115.178939819,0.000000000,0.000000000,0.000000000
1627319605.087233782,42.523283053,-71.602058829,115.179046631,0.000000000,0.000000000,0.000000000
1627319605.097245216,42.523283053,-71.602058830,115.179145813,0.000000000,0.000000000,0.000000000
