time,heading
1627339586.182765007,2.591318106
1627339586.192689419,2.591312819
1627339586.202811718,2.591328691
1627339586.212751389,2.591315823
1627339586.222699165,2.591324982
1627339586.232813120,2.591317264
1627339586.242918730,2.591335069
1627339586.252797842,2.591343403
1627339586.262837410,2.591345386
1627339586.272889614,2.591323156
1627339586.282778263,2.591339631
1627339586.292880774,2.591344291
1627339586.302828550,2.591338422
1627339586.312802553,2.591329994
1627339586.322864771,2.591339734
1627339586.332808971,2.591348658
1627339586.342773914,2.591343816
1627339586.352696896,2.591343194
1627339586.362814665,2.591349471
1627339586.372750282,2.591348107
1627339586.382732391,2.591356624
1627339586.392705202,2.591371505
1627339586.402644157,2.591368032
1627339586.412712574,2.591347065
1627339586.422815323,2.591372177
1627339586.432682276,2.591365046
1627339586.442873716,2.591382269
1627339586.452722073,2.591385730
1627339586.462683678,2.591404607
1627339586.472814322,2.591387607
1627339586.482741356,2.591405373
1627339586.493109941,2.591426594
1627339586.502717972,2.591403377
1627339586.512714624,2.591393774
1627339586.522804976,2.591420221
1627339586.533119917,2.591420609
1627339586.543107033,2.591395154
1627339586.552759886,2.591420006
1627339586.562848330,2.591422005
1627339586.572779894,2.591433650
1627339586.582785368,2.591418016
1627339586.592703819,2.591430364
1627339586.602920532,2.591422051
1627339586.612773657,2.591422353
1627339586.623057127,2.591432307
1627339586.633241653,2.591436843
1627339586.642771482,2.591425609
1627339586.652674437,2.591427247
1627339586.662874222,2.591445955
1627339586.672842503,2.591432612
1627339586.682727098,2.591437974
1627339586.692704678,2.591459868
1627339586.702792883,2.591469554
1627339586.712757826,2.591447391
1627339586.722823143,2.591463897
1627339586.732822180,2.591462780
1627339586.742766619,2.591471112
1627339586.752818584,2.591462319
1627339586.762827873,2.591460140
1627339586.772852659,2.591460266
1627339586.782775879,2.591469339
1627339586.792686462,2.591489082
1627339586.802778721,2.591482815
1627339586.812834501,2.591458237
1627339586.822846174,2.591469118
1627339586.832784891,2.591466339
1627339586.842744589,2.591469486
1627339586.852711916,2.591479623
1627339586.862933874,2.591467101
1627339586.872753620,2.591470178
1627339586.882896185,2.591478757
1627339586.892887592,2.591482447
1627339586.902773857,2.591491413
1627339586.912748337,2.591502250
1627339586.922855616,2.591501506
1627339586.932789803,2.591508861
1627339586.942741156,2.591530250
1627339586.952853918,2.591512566
1627339586.962811947,2.591534862
1627339586.972836733,2.591549811
1627339586.982887030,2.591544579
1627339586.992823124,2.591556049
1627339587.002877712,2.591560727
1627339587.012837648,2.591573539
1627339587.022842646,2.591564796
1627339587.032769203,2.591572288
1627339587.042943239,2.591569051
1627339587.052943230,2.591565682
1627339587.062970161,2.591571680
1627339587.072886467,2.591577885
1627339587.082704306,2.591579880
1627339587.092814922,2.591582287
1627339587.102758408,2.591558380
1627339587.112703800,2.591558515
1627339587.122674465,2.591569389
1627339587.132861137,2.591556611
1627339587.142926931,2.591549130
1627339587.152807236,2.591549744
1627339587.162817478,2.591545845
1627339587.172759056,2.591532465
1627339587.182694674,2.591517755
1627339587.192863226,2.591514708
1627339587.202772856,2.591534286
1627339587.212702036,2.591544950
1627339587.222811222,2.591523230
1627339587.232774734,2.591520289
1627339587.242836475,2.591544756
1627339587.252835989,2.591541475
1627339587.262767076,2.591561195
1627339587.272781372,2.591560035
1627339587.282832146,2.591539396
1627339587.292828560,2.591560427
1627339587.302803040,2.591551604
1627339587.312867880,2.591557019
1627339587.322663546,2.591576799
1627339587.332793713,2.591577099
1627339587.342679501,2.591588262
1627339587.352855682,2.591585309
1627339587.362776518,2.591609980
1627339587.372816324,2.591616106
1627339587.382897854,2.591604504
1627339587.392767668,2.591617337
1627339587.402718067,2.591597824
1627339587.412801266,2.591619917
1627339587.422769785,2.591615734
1627339587.432774067,2.591615535
1627339587.442843676,2.591609024
1627339587.452786207,2.591628047
1627339587.462773800,2.591628925
1627339587.472714424,2.591650577
1627339587.482722759,2.591632452
