time,curvature
1627339586.062994957,-0.003444493
1627339586.087979555,-0.003444493
1627339586.112978697,-0.003444493
1627339586.162905455,-0.003444493
1627339586.188016176,-0.003444493
1627339586.212988138,-0.003444493
1627339586.263029337,-0.003444493
1627339586.288000822,-0.003444493
1627339586.313003540,-0.003444493
1627339586.362957239,-0.003444493
1627339586.387979031,-0.003444493
1627339586.412971497,-0.003444493
1627339586.462982893,-0.003444493
1627339586.487967730,-0.003444493
1627339586.513001919,-0.003444493
1627339586.562990189,-0.003444493
1627339586.587963343,-0.003444493
1627339586.612980843,-0.003444493
1627339586.663025379,-0.003444493
1627339586.687978029,-0.003444493
1627339586.713012457,-0.003444493
1627339586.763015270,-0.003444493
1627339586.787997484,-0.003444493
1627339586.812978983,-0.003444493
1627339586.862995863,-0.003444493
1627339586.887984514,-0.003444493
1627339586.913006544,-0.003444493
1627339586.962998152,-0.003444493
1627339586.987996340,-0.003444493
1627339587.038009405,-0.003444493
1627339587.063055754,-0.003444493
1627339587.088069439,-0.003444493
1627339587.137978315,-0.003444493
1627339587.162980080,-0.003444493
1627339587.187985659,-0.003444493
1627339587.237980366,-0.003444493
1627339587.262982845,-0.003444493
1627339587.287980556,-0.003444493
1627339587.337991714,-0.003444493
1627339587.362987280,-0.003444493
1627339587.387980223,-0.003444493
1627339587.438042641,-0.003444493
1627339587.462970018,-0.003444493
1627339587.487969160,-0.003444493
1627339587.538030148,-0.003444493
1627339587.563053131,-0.003444493
1627339587.587980032,-0.003444493
1627339587.637972355,-0.003444493
1627339587.662981987,-0.003444493
1627339587.688010931,-0.003444493
1627339587.737974167,-0.003444493
1627339587.762982607,-0.003444493
1627339587.787980556,-0.003444493
1627339587.837996721,-0.003444493
1627339587.862967730,-0.003444493
1627339587.887979031,-0.003444493
1627339587.937986612,-0.003444493
1627339587.962991238,-0.003444493
1627339587.987966537,-0.003444493
1627339588.037993431,-0.003444493
1627339588.062989712,-0.003444493
1627339588.087992907,-0.003444493
1627339588.137986898,-0.003444493
1627339588.162991285,-0.003444493
1627339588.187974215,-0.003444493
1627339588.237969398,-0.003444493
1627339588.262989998,-0.003444493
1627339588.287985086,-0.003444493
1627339588.337968826,-0.003444493
1627339588.362991810,-0.003444493
1627339588.387979031,-0.003444493
1627339588.437954903,-0.003444493
1627339588.463008642,-0.003444493
1627339588.487961531,-0.003444493
1627339588.537955046,-0.003444493
1627339588.562971830,-0.003444493
1627339588.588016272,-0.003444493
1627339588.638002396,-0.003444493
1627339588.662997246,-0.003444493
1627339588.687995195,-0.003444493
1627339588.737998009,-0.003444493
1627339588.762962580,-0.003444493
1627339588.812985420,-0.003444493
