timestamp,camera_front
1627339590.152571201,0
1627339590.179191113,1
1627339590.212656975,2
1627339590.246319056,3
1627339590.279199123,4
1627339590.312809944,5
1627339590.345592022,6
1627339590.379684925,7
1627339590.412266970,8
1627339590.445956945,9
1627339590.479022980,10
1627339590.512701035,11
1627339590.545565128,12
1627339590.579730034,13
1627339590.612194061,14
1627339590.645981073,15
1627339590.679008007,16
1627339590.712723017,17
1627339590.745573997,18
1627339590.779635906,19
1627339590.812201023,20
1627339590.846030951,21
1627339590.879044056,22
1627339590.912884951,23
1627339590.945595026,24
1627339590.979707003,25
1627339591.012253046,26
1627339591.046069860,27
1627339591.079128027,28
1627339591.112792969,29
1627339591.145498037,30
1627339591.179768085,31
1627339591.212240934,32
1627339591.246068001,33
1627339591.279178858,34
1627339591.312783957,35
1627339591.345497131,36
1627339591.379657030,37
1627339591.412183046,38
1627339591.445955038,39
1627339591.478777885,40
1627339591.512767076,41
1627339591.545548916,42
1627339591.579422951,43
1627339591.612257004,44
1627339591.646022081,45
1627339591.678822994,46
1627339591.712710857,47
1627339591.745626926,48
1627339591.779752970,49
1627339591.814159870,50
1627339591.846148014,51
1627339591.879034996,52
1627339591.912696123,53
1627339591.945536852,54
1627339591.979398012,55
1627339592.012239933,56
1627339592.046005011,57
1627339592.079060078,58
1627339592.112791061,59
1627339592.145511866,60
1627339592.179418087,61
1627339592.212213993,62
1627339592.246161938,63
1627339592.279206038,64
1627339592.312743902,65
1627339592.345497131,66
1627339592.379530191,67
1627339592.412156105,68
1627339592.446090937,69
1627339592.478966951,70
1627339592.512794971,71
1627339592.545547009,72
1627339592.579738140,73
1627339592.612123966,74
1627339592.646051884,75
1627339592.678966999,76
1627339592.712769985,77
1627339592.745627880,78
1627339592.779482126,79
1627339592.812174082,80
1627339592.846113205,81
1627339592.879024982,82
1627339592.912722111,83
1627339592.945572138,84
1627339592.979648113,85
1627339593.012150049,86
1627339593.046072960,87
1627339593.079177856,88
1627339593.112682104,89
1627339593.145549059,90
1627339593.179723024,91
1627339593.212125063,92
1627339593.246057034,93
1627339593.278967857,94
1627339593.312738180,95
1627339593.345456123,96
1627339593.379656076,97
1627339593.412156105,98
1627339593.446047068,99
1627339593.478988171,100
1627339593.512716055,101
1627339593.545576096,102
1627339593.579597950,103
1627339593.612101078,104
1627339593.646035910,105
1627339593.678874016,106
1627339593.712779999,107
1627339593.745475054,108
1627339593.779775858,109
1627339593.812256098,110
1627339593.846028805,111
1627339593.878952980,112
1627339593.912802935,113
1627339593.945538998,114
1627339593.979482889,115
1627339594.012184858,116
1627339594.046003819,117
1627339594.078985929,118
1627339594.112685919,119
1627339594.145493984,120
1627339594.179553986,121
1627339594.212166071,122
1627339594.246047020,123
1627339594.278953791,124
1627339594.312788963,125
1627339594.345560074,126
1627339594.379617929,127
1627339594.412131071,128
1627339594.446065903,129
1627339594.478913069,130
1627339594.512792110,131
1627339594.545521021,132
1627339594.579663992,133
1627339594.612255096,134
1627339594.646042109,135
1627339594.679031134,136
1627339594.712671995,137
1627339594.745517969,138
1627339594.779408932,139
1627339594.812561989,140
1627339594.846081972,141
1627339594.879164934,142
1627339594.912693977,143
1627339594.945558071,144
1627339594.979736805,145
1627339595.012187004,146
1627339595.046067953,147
1627339595.079069853,148
1627339595.112823963,149
1627339595.145601988,150
1627339595.179475069,151
1627339595.212191105,152
1627339595.246114016,153
1627339595.278938055,154
1627339595.312799931,155
1627339595.345504999,156
1627339595.379667044,157
1627339595.412256956,158
1627339595.446068048,159
1627339595.478865147,160
1627339595.512822151,161
1627339595.545613050,162
1627339595.579525948,163
1627339595.612215996,164
1627339595.646278858,165
1627339595.678879023,166
1627339595.712690115,167
1627339595.745621204,168
1627339595.779563189,169
1627339595.812256098,170
1627339595.846333981,171
1627339595.878875971,172
1627339595.912788153,173
1627339595.945561886,174
1627339595.979383945,175
1627339596.012198925,176
1627339596.046015978,177
1627339596.078977823,178
1627339596.112836838,179
1627339596.145590067,180
1627339596.179460049,181
1627339596.212227821,182
1627339596.246114016,183
1627339596.279113054,184
1627339596.312695980,185
1627339596.345597982,186
1627339596.379420996,187
1627339596.412264109,188
1627339596.446007013,189
1627339596.478964090,190
1627339596.512850046,191
1627339596.545539141,192
1627339596.579447985,193
1627339596.612305164,194
1627339596.646065950,195
1627339596.678844929,196
1627339596.712769985,197
1627339596.745563984,198
1627339596.779341936,199
1627339596.812263012,200
1627339596.846093893,201
1627339596.879014969,202
1627339596.912873030,203
1627339596.945655107,204
1627339596.979511976,205
1627339597.012367964,206
1627339597.046106100,207
1627339597.078996181,208
1627339597.112835884,209
1627339597.145640135,210
1627339597.179693937,211
