time,steering
1627328803.065100431,14.495832217
1627328803.098432779,14.495832217
1627328803.129751682,14.495832217
1627328803.164076805,14.495832217
1627328803.197818279,14.495832217
1627328803.231242657,14.495832217
1627328803.265326262,14.495832217
1627328803.299324512,14.495832217
1627328803.331532955,14.495832217
1627328803.364962578,14.495832217
1627328803.398452044,14.495832217
1627328803.432025909,14.495832217
1627328803.466219664,14.495832217
1627328803.499413490,14.495832217
1627328803.531588316,14.495832217
1627328803.566999674,14.495832217
1627328803.599975586,14.495832217
1627328803.632709742,14.495832217
1627328803.666924953,14.495832217
1627328803.700202465,14.495832217
1627328803.732381821,14.495832217
1627328803.766314268,14.495832217
1627328803.800731659,14.495832217
1627328803.833432674,14.495832217
1627328803.867825270,14.495832217
1627328803.901169300,14.495832217
1627328803.933360338,14.495832217
1627328803.968108416,14.495832217
1627328804.001535892,14.495832217
1627328804.033687115,14.495832217
1627328804.067645073,14.495832217
1627328804.102072477,14.495832217
1627328804.134308338,14.495832217
1627328804.169011831,14.495832217
1627328804.202275276,14.495832217
1627328804.234575272,14.495832217
1627328804.269467115,14.495832217
1627328804.302802801,14.495832217
1627328804.335564375,14.495832217
1627328804.370047092,14.495832217
1627328804.403256178,14.495832217
1627328804.435395002,14.495832217
1627328804.469323158,14.495832217
1627328804.502701759,14.495832217
1627328804.536124706,14.495832217
1627328804.570760489,14.495832217
1627328804.604254961,14.495832217
1627328804.637143612,14.495832217
1627328804.670405388,14.495832217
1627328804.704748392,14.495832217
1627328804.737436533,14.495832217
1627328804.770871401,14.495832217
1627328804.804632664,14.495832217
1627328804.837019444,14.495832217
1627328804.871450901,14.495832217
1627328804.905216455,14.495832217
1627328804.938514709,14.495832217
1627328804.973287106,14.495832217
1627328805.004749060,14.495832217
1627328805.037909985,14.495832217
1627328805.072842836,14.495832217
1627328805.106161833,14.495832217
1627328805.138431787,14.495832217
1627328805.173265457,14.495832217
1627328805.206670046,14.495832217
1627328805.239082098,14.495832217
1627328805.273897648,14.495832217
1627328805.306019306,14.495832217
1627328805.339490652,14.495832217
1627328805.373212337,14.495832217
1627328805.406462908,14.495832217
1627328805.439680099,14.495832217
1627328805.474688053,14.495832217
1627328805.508081675,14.495832217
1627328805.540277481,14.495832217
1627328805.573980093,14.495832217
1627328805.608377934,14.495832217
1627328805.640532732,14.495832217
1627328805.675392151,14.495832217
1627328805.708690643,14.495832217
1627328805.740991831,14.495832217
1627328805.774821997,14.495832217
1627328805.809296846,14.495832217
1627328805.841467619,14.495832217
1627328805.875876904,14.495832217
1627328805.909618616,14.495832217
1627328805.941917658,14.495832217
1627328805.976254463,14.495832217
1627328806.010201931,14.495832217
1627328806.043483734,14.495832217
1627328806.077660561,14.495832217
1627328806.110795498,14.495832217
1627328806.143702269,14.495832217
1627328806.178007364,14.495832217
1627328806.211299181,14.495832217
1627328806.244107962,14.495832217
1627328806.277145863,14.495832217
1627328806.311768055,14.495832217
1627328806.343956470,14.495832217
1627328806.378767014,14.495832217
1627328806.412003279,14.495832217
1627328806.444486141,14.495832217
1627328806.479051113,14.495832217
1627328806.512336254,14.495832217
1627328806.545158386,14.495832217
1627328806.579507351,14.495832217
1627328806.612856865,14.495832217
1627328806.645499706,14.495832217
1627328806.679974079,14.495832217
1627328806.713511705,14.495832217
1627328806.746297121,14.495832217
1627328806.780503988,14.495832217
1627328806.813830137,14.495832217
1627328806.846753836,14.495832217
1627328806.880949259,14.495832217
1627328806.914435625,14.495832217
1627328806.947184324,14.495832217
1627328806.981397152,14.495832217
1627328807.015347958,14.495832217
1627328807.046644688,14.495832217
1627328807.080985308,14.495832217
1627328807.115758419,14.495832217
1627328807.147081614,14.495832217
1627328807.181355953,14.495832217
1627328807.216308355,14.495832217
1627328807.247556448,14.495832217
1627328807.282731533,14.495832217
1627328807.314720631,14.495832217
1627328807.347972155,14.495832217
1627328807.381942034,14.495832217
1627328807.415173054,14.495832217
