time,curvature
1627328803.078285933,0.005622589
1627328803.103276491,0.005622589
1627328803.153285027,0.005622589
1627328803.178280592,0.005622589
1627328803.203274488,0.005622589
1627328803.253285170,0.005622589
1627328803.278289795,0.005622589
1627328803.303283691,0.005622589
1627328803.353272438,0.005622589
1627328803.378275156,0.005622589
1627328803.403280497,0.005622589
1627328803.453297138,0.005622589
1627328803.478309870,0.005622589
1627328803.503307819,0.005622589
1627328803.553294659,0.005622589
1627328803.578284740,0.005622589
1627328803.603300571,0.005622589
1627328803.653321266,0.005622589
1627328803.678278446,0.005622589
1627328803.703322411,0.005622589
1627328803.753306389,0.005622589
1627328803.778329611,0.005622589
1627328803.803355932,0.005622589
1627328803.853284597,0.005622589
1627328803.878292799,0.005622589
1627328803.903332710,0.005622589
1627328803.953316450,0.005622589
1627328803.978307962,0.005622589
1627328804.003287077,0.005622589
1627328804.053300142,0.005622589
1627328804.078287601,0.005622589
1627328804.103290081,0.005622589
1627328804.153283119,0.005622589
1627328804.178300858,0.005622589
1627328804.203363419,0.005622589
1627328804.253284693,0.005622589
1627328804.278329372,0.005622589
1627328804.303305864,0.005622589
1627328804.353331327,0.005622589
1627328804.378302813,0.005622589
1627328804.428246260,0.005622589
1627328804.453294992,0.005622589
1627328804.478304386,0.005622589
1627328804.503314972,0.005622589
1627328804.553292990,0.005622589
1627328804.578293085,0.005622589
1627328804.628318071,0.005622589
1627328804.653295040,0.005622589
1627328804.678257465,0.005622589
1627328804.728347301,0.005622589
1627328804.753309011,0.005622589
1627328804.778294802,0.005622589
1627328804.828359842,0.005622589
1627328804.853313446,0.005622589
1627328804.878322840,0.005622589
1627328804.928361654,0.005622589
1627328804.953323841,0.005622589
1627328804.978311777,0.005622589
1627328805.028361320,0.005622589
1627328805.053311348,0.005622589
1627328805.078282118,0.005622589
1627328805.128367424,0.005622589
1627328805.153305769,0.005622589
1627328805.178287268,0.005622589
1627328805.228326797,0.005622589
1627328805.253289938,0.005622589
1627328805.278297663,0.005622589
1627328805.328344584,0.005622589
1627328805.353316784,0.005622589
1627328805.378324509,0.005622589
1627328805.428373098,0.005622589
1627328805.453334808,0.005622589
1627328805.478289843,0.005622589
1627328805.528379202,0.005622589
1627328805.553277254,0.005622589
1627328805.578312874,0.005622589
1627328805.628334522,0.005622589
1627328805.653298140,0.005622589
1627328805.678303719,0.005622589
1627328805.728324652,0.005622589
1627328805.753287315,0.005622589
1627328805.778276205,0.005622589
1627328805.828334570,0.005622589
1627328805.853285789,0.005622589
1627328805.878259659,0.005622589
1627328805.928324699,0.005622589
1627328805.953266859,0.005622589
1627328805.978287935,0.005622589
1627328806.028331995,0.005622589
1627328806.053288460,0.005622589
