time,heading
1627328803.200684786,-3.085538203
1627328803.210474014,-3.085602577
1627328803.220460415,-3.085600654
1627328803.230530500,-3.085604472
1627328803.240516901,-3.085674389
1627328803.250464201,-3.085666622
1627328803.260632277,-3.085676487
1627328803.270534754,-3.085761499
1627328803.280470610,-3.085755186
1627328803.290569067,-3.085754711
1627328803.300516605,-3.085824827
1627328803.310636282,-3.085845089
1627328803.320602894,-3.085839450
1627328803.330666065,-3.085898763
1627328803.340475321,-3.085914336
1627328803.350593805,-3.085913470
1627328803.360654593,-3.085959989
1627328803.370510817,-3.085961298
1627328803.380447626,-3.085976835
1627328803.390730619,-3.086042732
1627328803.400521755,-3.086044840
1627328803.410620928,-3.086054985
1627328803.420621634,-3.086118686
1627328803.430712461,-3.086118128
1627328803.440636873,-3.086123490
1627328803.450608015,-3.086188761
1627328803.460539579,-3.086203128
1627328803.470717907,-3.086195642
1627328803.480594635,-3.086263526
1627328803.490722418,-3.086258182
1627328803.500665903,-3.086255880
1627328803.510656118,-3.086314798
1627328803.520608187,-3.086335570
1627328803.530523300,-3.086323233
1627328803.540544510,-3.086398080
1627328803.550490618,-3.086396439
1627328803.560617208,-3.086398724
1627328803.570482254,-3.086462143
1627328803.580435276,-3.086452787
1627328803.590645313,-3.086494922
1627328803.600493670,-3.086527166
1627328803.610653162,-3.086550781
1627328803.620604277,-3.086564019
1627328803.630527973,-3.086611276
1627328803.640627861,-3.086618472
1627328803.650614023,-3.086636224
1627328803.660518169,-3.086710168
1627328803.670627832,-3.086702300
1627328803.680592775,-3.086716640
1627328803.690561056,-3.086806906
1627328803.700648069,-3.086798604
1627328803.710628271,-3.086811627
1627328803.720567703,-3.086882450
1627328803.730607748,-3.086866535
1627328803.740633011,-3.086877912
1627328803.750679255,-3.086922995
1627328803.760656595,-3.086941547
1627328803.770481586,-3.086947976
1627328803.780551672,-3.087018442
1627328803.790564060,-3.087016330
1627328803.800512314,-3.087012086
1627328803.810792446,-3.087053912
1627328803.820547819,-3.087061193
1627328803.830476999,-3.087071000
1627328803.840630054,-3.087127467
1627328803.850563765,-3.087148102
1627328803.860630512,-3.087153945
1627328803.870608807,-3.087213308
1627328803.880547523,-3.087222675
1627328803.890495777,-3.087213314
1627328803.900452375,-3.087295177
1627328803.910707235,-3.087266518
1627328803.920739889,-3.087281253
1627328803.930897474,-3.087352245
1627328803.940591335,-3.087351172
1627328803.950702906,-3.087352582
1627328803.960659027,-3.087424899
1627328803.970578671,-3.087431228
1627328803.980664492,-3.087419557
1627328803.990478039,-3.087512545
1627328804.000648975,-3.087505726
1627328804.010635376,-3.087509080
1627328804.020659208,-3.087574606
1627328804.030603409,-3.087560990
1627328804.040572882,-3.087564504
1627328804.050557613,-3.087620409
1627328804.060662270,-3.087648136
1627328804.070566416,-3.087635691
1627328804.080518961,-3.087703214
1627328804.090469837,-3.087701510
1627328804.100638390,-3.087680661
1627328804.110516548,-3.087743721
1627328804.120509624,-3.087751331
1627328804.130579710,-3.087753094
1627328804.140548706,-3.087821024
1627328804.150642157,-3.087821027
1627328804.160928488,-3.087828640
1627328804.170623064,-3.087904418
1627328804.180728674,-3.087897144
1627328804.190627575,-3.087928239
1627328804.200607538,-3.087995070
1627328804.210660458,-3.088006815
1627328804.220691442,-3.087991387
1627328804.230581999,-3.088066112
1627328804.240544558,-3.088088591
1627328804.250494719,-3.088107853
1627328804.260599136,-3.088145540
1627328804.270567894,-3.088157762
1627328804.280514002,-3.088175386
1627328804.290615797,-3.088229064
1627328804.300653934,-3.088230836
1627328804.310526133,-3.088239799
1627328804.320643425,-3.088298631
1627328804.330588102,-3.088305940
1627328804.340517998,-3.088294612
1627328804.350446701,-3.088348036
1627328804.360579014,-3.088355001
1627328804.370557070,-3.088358930
1627328804.380469561,-3.088426464
1627328804.390781164,-3.088424997
1627328804.400676966,-3.088415499
1627328804.410663128,-3.088485664
1627328804.420582533,-3.088488939
1627328804.430532455,-3.088488535
1627328804.440645456,-3.088560576
1627328804.450696230,-3.088568896
1627328804.460580587,-3.088583745
1627328804.470722198,-3.088668223
1627328804.480479002,-3.088662724
1627328804.490669489,-3.088682596
1627328804.500715494,-3.088732441
1627328804.510654688,-3.088738471
1627328804.520574570,-3.088745313
1627328804.530520439,-3.088818132
1627328804.540644646,-3.088808265
1627328804.550603867,-3.088808047
1627328804.560570955,-3.088869118
1627328804.570669413,-3.088884506
1627328804.580639839,-3.088881682
1627328804.590560675,-3.088941145
1627328804.600695133,-3.088936428
1627328804.610727549,-3.088944536
1627328804.620694876,-3.089004902
1627328804.630521536,-3.089006112
1627328804.640663147,-3.089007728
1627328804.650678635,-3.089060824
1627328804.660573006,-3.089074182
1627328804.670671940,-3.089095026
1627328804.680584669,-3.089152530
1627328804.690600634,-3.089132258
1627328804.700485706,-3.089155483
1627328804.710610867,-3.089230178
1627328804.720582247,-3.089229229
1627328804.730655193,-3.089230635
1627328804.740611315,-3.089292962
1627328804.750596523,-3.089294855
1627328804.760546446,-3.089305545
1627328804.770636082,-3.089365554
1627328804.780584812,-3.089376565
1627328804.790572643,-3.089375258
1627328804.800670385,-3.089442738
