timestamp,camera_front
1627328807.172989130,0
1627328807.198089123,1
1627328807.231651068,2
1627328807.265190125,3
1627328807.298105955,4
1627328807.331820011,5
1627328807.364650011,6
1627328807.398472071,7
1627328807.431247950,8
1627328807.465100050,9
1627328807.497898102,10
1627328807.531857014,11
1627328807.564669847,12
1627328807.598473072,13
1627328807.631274939,14
1627328807.665034056,15
1627328807.697947979,16
1627328807.731884003,17
1627328807.764525890,18
1627328807.798485994,19
1627328807.831250906,20
1627328807.865097046,21
1627328807.897876024,22
1627328807.931760073,23
1627328807.964565039,24
1627328807.998477936,25
1627328808.031183958,26
1627328808.065016031,27
1627328808.097925901,28
1627328808.131842852,29
1627328808.164544821,30
1627328808.198508978,31
1627328808.231189013,32
1627328808.265081167,33
1627328808.297841072,34
1627328808.331781149,35
1627328808.364598989,36
1627328808.398447037,37
1627328808.431282997,38
1627328808.465041876,39
1627328808.497941971,40
1627328808.531921148,41
1627328808.564630985,42
1627328808.598557949,43
1627328808.631292105,44
1627328808.665121078,45
1627328808.697944880,46
1627328808.732047081,47
1627328808.764554977,48
1627328808.798493862,49
1627328808.831317902,50
1627328808.865242958,51
1627328808.897990942,52
1627328808.931797981,53
1627328808.964601994,54
1627328808.998517036,55
1627328809.031342983,56
1627328809.065119982,57
1627328809.098018885,58
1627328809.131819963,59
1627328809.164661884,60
1627328809.198506117,61
1627328809.231280088,62
1627328809.265201092,63
1627328809.297901869,64
1627328809.331827879,65
1627328809.364658117,66
1627328809.398638010,67
1627328809.431282043,68
1627328809.465178967,69
1627328809.497993946,70
1627328809.531953812,71
1627328809.564649105,72
1627328809.598505020,73
1627328809.631278992,74
1627328809.665256977,75
1627328809.697944880,76
1627328809.731857061,77
1627328809.764659882,78
1627328809.798450947,79
1627328809.831235886,80
1627328809.865170002,81
1627328809.897922039,82
1627328809.931864023,83
1627328809.964511871,84
1627328809.998445988,85
1627328810.031331062,86
1627328810.065073967,87
1627328810.097951889,88
1627328810.131778002,89
1627328810.164598942,90
1627328810.198619843,91
1627328810.231338978,92
1627328810.265172005,93
1627328810.297923088,94
1627328810.331864119,95
1627328810.364584923,96
1627328810.398407936,97
1627328810.431236982,98
1627328810.465161800,99
1627328810.497869968,100
1627328810.531819820,101
1627328810.564514160,102
1627328810.598450899,103
1627328810.631268978,104
1627328810.665023088,105
1627328810.697956085,106
1627328810.731827974,107
1627328810.764508009,108
1627328810.798459053,109
1627328810.831289053,110
1627328810.865087986,111
1627328810.897985935,112
1627328810.931883097,113
1627328810.964566946,114
1627328810.998560905,115
1627328811.031340122,116
1627328811.065066099,117
1627328811.097983122,118
1627328811.131776094,119
1627328811.164591074,120
1627328811.198496103,121
1627328811.231399059,122
1627328811.265192986,123
1627328811.297914982,124
1627328811.331819057,125
1627328811.364522934,126
1627328811.398597002,127
1627328811.431329966,128
1627328811.465139151,129
1627328811.497920036,130
1627328811.531851053,131
1627328811.564563036,132
1627328811.598516941,133
1627328811.631378889,134
1627328811.665171146,135
1627328811.697915077,136
1627328811.731844902,137
1627328811.764883995,138
1627328811.798444033,139
1627328811.831284046,140
1627328811.865167856,141
1627328811.897941113,142
1627328811.931964159,143
1627328811.964607000,144
1627328811.998476028,145
1627328812.031398058,146
1627328812.065153837,147
1627328812.098116875,148
1627328812.132055044,149
1627328812.164672136,150
1627328812.198550940,151
1627328812.231508970,152
1627328812.265266895,153
1627328812.298058987,154
1627328812.331857920,155
1627328812.364747047,156
1627328812.398746014,157
1627328812.431468964,158
1627328812.465256929,159
1627328812.498110056,160
1627328812.532135010,161
1627328812.564806938,162
1627328812.598798037,163
1627328812.631481171,164
1627328812.665227890,165
1627328812.698067904,166
1627328812.731952906,167
1627328812.764705181,168
1627328812.798666954,169
1627328812.831393957,170
1627328812.865211964,171
1627328812.898046017,172
1627328812.932060957,173
1627328812.964725971,174
1627328812.998661995,175
1627328813.031628847,176
1627328813.065197945,177
1627328813.098101854,178
1627328813.132303953,179
1627328813.164772987,180
1627328813.198852062,181
1627328813.231575966,182
1627328813.265355110,183
1627328813.298086882,184
1627328813.332067013,185
1627328813.364778996,186
1627328813.398717880,187
1627328813.431555986,188
1627328813.465261936,189
1627328813.498152018,190
1627328813.532182932,191
1627328813.564719915,192
1627328813.598642111,193
1627328813.631273985,194
1627328813.665302038,195
1627328813.698071003,196
1627328813.732094049,197
1627328813.764729023,198
1627328813.798582077,199
1627328813.831418991,200
1627328813.865242004,201
1627328813.898118019,202
1627328813.932052851,203
1627328813.964763165,204
1627328813.998615980,205
1627328814.031481981,206
1627328814.065176010,207
1627328814.098176003,208
1627328814.132067919,209
1627328814.164705992,210
1627328814.198669910,211
1627328814.231455088,212
1627328814.265271187,213
1627328814.298091888,214
1627328814.332340002,215
1627328814.364878893,216
1627328814.398672104,217
1627328814.431643009,218
1627328814.465388060,219
1627328814.498184919,220
1627328814.532289028,221
1627328814.564805031,222
1627328814.598621130,223
1627328814.631536961,224
1627328814.665322065,225
1627328814.698059082,226
1627328814.732096195,227
1627328814.764801979,228
1627328814.798757076,229
1627328814.831696987,230
1627328814.865324020,231
1627328814.898277044,232
1627328814.932114124,233
1627328814.964890957,234
1627328814.998731136,235
1627328815.031551838,236
1627328815.065255165,237
1627328815.098248005,238
1627328815.132399082,239
1627328815.164829016,240
1627328815.198659897,241
1627328815.231456041,242
1627328815.265350103,243
1627328815.298183918,244
1627328815.332247019,245
1627328815.364706039,246
1627328815.398772001,247
1627328815.431607008,248
1627328815.465368986,249
1627328815.498171091,250
1627328815.532119989,251
1627328815.564917088,252
1627328815.598719835,253
1627328815.631585836,254
1627328815.665399075,255
1627328815.698225021,256
1627328815.732125998,257
1627328815.764816999,258
1627328815.798799992,259
1627328815.831557035,260
1627328815.865226984,261
1627328815.898122072,262
1627328815.932054996,263
1627328815.964774132,264
1627328815.998922110,265
1627328816.031594992,266
1627328816.065378904,267
1627328816.098250866,268
1627328816.132043839,269
1627328816.164846182,270
1627328816.198750019,271
1627328816.231559038,272
1627328816.265274048,273
1627328816.298130035,274
1627328816.332033873,275
1627328816.364878893,276
1627328816.398858070,277
1627328816.431714058,278
1627328816.465478897,279
1627328816.498322010,280
1627328816.532139063,281
1627328816.564841032,282
1627328816.598855019,283
1627328816.631592035,284
1627328816.665462017,285
1627328816.698260069,286
1627328816.732210875,287
1627328816.764775991,288
1627328816.798759937,289
1627328816.831476927,290
1627328816.865299940,291
1627328816.898133993,292
1627328816.932358980,293
1627328816.964741945,294
1627328816.998866081,295
1627328817.031363964,296
1627328817.065253973,297
1627328817.098180056,298
1627328817.131959915,299
1627328817.164673090,300
1627328817.198591948,301
1627328817.231389999,302
1627328817.265208960,303
1627328817.298050880,304
1627328817.331857920,305
1627328817.364667892,306
1627328817.398530006,307
1627328817.431353807,308
1627328817.465168953,309
1627328817.497940063,310
1627328817.531888008,311
1627328817.564636946,312
1627328817.598549128,313
1627328817.631469011,314
1627328817.664608002,315
1627328817.697866917,316
1627328817.731401920,317
1627328817.765149117,318
1627328817.797980070,319
1627328817.831953049,320
1627328817.864553928,321
1627328817.898761988,322
1627328817.931317091,323
1627328817.965043068,324
1627328817.997915030,325
1627328818.031769037,326
1627328818.064574003,327
1627328818.098634958,328
1627328818.131232023,329
1627328818.165050030,330
1627328818.197876930,331
1627328818.231684923,332
1627328818.264465094,333
1627328818.298718929,334
1627328818.331264019,335
1627328818.365132093,336
1627328818.397938967,337
1627328818.431838989,338
1627328818.464551926,339
1627328818.498399019,340
1627328818.531219959,341
1627328818.565089941,342
1627328818.597929001,343
1627328818.631740093,344
1627328818.664484978,345
1627328818.698577881,346
1627328818.731248140,347
1627328818.764981985,348
1627328818.797940016,349
1627328818.831758022,350
1627328818.864539146,351
1627328818.898364067,352
1627328818.931186914,353
1627328818.965057135,354
1627328818.997959852,355
1627328819.031811953,356
1627328819.064527035,357
1627328819.098405123,358
1627328819.131206989,359
1627328819.165016890,360
1627328819.197881937,361
1627328819.231764078,362
1627328819.264497042,363
1627328819.298467875,364
1627328819.331302881,365
1627328819.365080118,366
1627328819.397850037,367
1627328819.431831121,368
1627328819.464534998,369
1627328819.498375893,370
1627328819.531125069,371
1627328819.565030098,372
1627328819.597903967,373
1627328819.631880045,374
1627328819.664498091,375
1627328819.698356152,376
1627328819.731256008,377
1627328819.765116930,378
1627328819.797880173,379
1627328819.831772089,380
