time,pos_x,pos_y,twist_x,twist_y,twist_z
1627328803.200697422,0.000000000,0.000000000,0.159900000,0.605600000,0.000000000
1627328803.210495234,0.000000000,0.000000000,0.159100000,0.604600000,0.000000000
1627328803.220473289,0.000000000,0.000000000,0.158700000,0.604200000,0.000000000
1627328803.230544329,0.000000000,0.000000000,0.158300000,0.603900000,0.000000000
1627328803.240536213,0.000000000,0.000000000,0.157600000,0.602900000,0.000000000
1627328803.250464916,0.000000000,0.000000000,0.157300000,0.602500000,0.000000000
1627328803.260644197,0.000000000,0.000000000,0.157000000,0.602100000,0.000000000
1627328803.270549297,0.000000000,0.000000000,0.156500000,0.601200000,0.000000000
1627328803.280501127,0.000000000,0.000000000,0.156300000,0.600900000,0.000000000
1627328803.323589087,0.000000000,0.000000000,0.156200000,0.600400000,0.000000000
1627328803.323614836,0.000000000,0.000000000,0.155700000,0.599600000,0.000000000
1627328803.323630095,0.000000000,0.000000000,0.155600000,0.599300000,0.000000000
1627328803.323641539,0.000000000,0.000000000,0.155400000,0.598900000,0.000000000
1627328803.367593765,0.000000000,0.000000000,0.155000000,0.598100000,0.000000000
1627328803.367609978,0.000000000,0.000000000,0.154800000,0.597700000,0.000000000
1627328803.367622375,0.000000000,0.000000000,0.154700000,0.597500000,0.000000000
1627328803.367638350,0.000000000,0.000000000,0.154200000,0.596800000,0.000000000
1627328803.411590815,0.000000000,0.000000000,0.154100000,0.596500000,0.000000000
1627328803.411604643,0.000000000,0.000000000,0.153900000,0.596200000,0.000000000
1627328803.411614180,0.000000000,0.000000000,0.153400000,0.595400000,0.000000000
1627328803.411625624,0.000000000,0.000000000,0.153200000,0.595100000,0.000000000
1627328803.411634922,0.000000000,0.000000000,0.153000000,0.594700000,0.000000000
1627328803.455582380,0.000000000,0.000000000,0.152500000,0.593800000,0.000000000
1627328803.455595016,0.000000000,0.000000000,0.152300000,0.593300000,0.000000000
1627328803.455603123,0.000000000,0.000000000,0.152100000,0.592800000,0.000000000
1627328803.455613375,0.000000000,0.000000000,0.151500000,0.591800000,0.000000000
1627328803.460547209,0.000000000,0.000000000,0.151200000,0.591200000,0.000000000
1627328803.470728636,0.000000000,0.000000000,0.150800000,0.590500000,0.000000000
1627328803.511611700,0.000000000,0.000000000,0.150200000,0.589400000,0.000000000
1627328803.511624336,0.000000000,0.000000000,0.149800000,0.588800000,0.000000000
1627328803.511633396,0.000000000,0.000000000,0.149400000,0.588000000,0.000000000
1627328803.511644602,0.000000000,0.000000000,0.148800000,0.586800000,0.000000000
1627328803.555605888,0.000000000,0.000000000,0.148300000,0.586000000,0.000000000
1627328803.555621386,0.000000000,0.000000000,0.147800000,0.585400000,0.000000000
1627328803.555630445,0.000000000,0.000000000,0.147100000,0.584300000,0.000000000
1627328803.555637360,0.000000000,0.000000000,0.146600000,0.583600000,0.000000000
1627328803.599597454,0.000000000,0.000000000,0.146000000,0.582900000,0.000000000
1627328803.599616289,0.000000000,0.000000000,0.145100000,0.581900000,0.000000000
1627328803.599632978,0.000000000,0.000000000,0.144500000,0.581400000,0.000000000
1627328803.599645615,0.000000000,0.000000000,0.143900000,0.580800000,0.000000000
1627328803.643617868,0.000000000,0.000000000,0.143100000,0.580000000,0.000000000
1627328803.643636703,0.000000000,0.000000000,0.142600000,0.579400000,0.000000000
1627328803.643645763,0.000000000,0.000000000,0.142000000,0.579000000,0.000000000
1627328803.643687963,0.000000000,0.000000000,0.141300000,0.578300000,0.000000000
1627328803.643697739,0.000000000,0.000000000,0.140900000,0.577900000,0.000000000
1627328803.687585354,0.000000000,0.000000000,0.140600000,0.577400000,0.000000000
1627328803.687597036,0.000000000,0.000000000,0.140100000,0.576600000,0.000000000
1627328803.687606812,0.000000000,0.000000000,0.139800000,0.576300000,0.000000000
1627328803.687635422,0.000000000,0.000000000,0.139600000,0.575900000,0.000000000
1627328803.690560341,0.000000000,0.000000000,0.139400000,0.575200000,0.000000000
1627328803.700659513,0.000000000,0.000000000,0.139300000,0.574900000,0.000000000
1627328803.743606091,0.000000000,0.000000000,0.139300000,0.574600000,0.000000000
1627328803.743620157,0.000000000,0.000000000,0.139100000,0.574000000,0.000000000
1627328803.743630409,0.000000000,0.000000000,0.139000000,0.573600000,0.000000000
1627328803.743642330,0.000000000,0.000000000,0.139000000,0.573200000,0.000000000
1627328803.787612915,0.000000000,0.000000000,0.138900000,0.572500000,0.000000000
1627328803.787639141,0.000000000,0.000000000,0.138800000,0.572200000,0.000000000
1627328803.787651300,0.000000000,0.000000000,0.138800000,0.571800000,0.000000000
1627328803.787663937,0.000000000,0.000000000,0.138500000,0.571000000,0.000000000
1627328803.831592798,0.000000000,0.000000000,0.138300000,0.570600000,0.000000000
1627328803.831605434,0.000000000,0.000000000,0.138100000,0.570200000,0.000000000
1627328803.831613541,0.000000000,0.000000000,0.137600000,0.569500000,0.000000000
1627328803.831627846,0.000000000,0.000000000,0.137200000,0.568900000,0.000000000
1627328803.831636429,0.000000000,0.000000000,0.136800000,0.568400000,0.000000000
1627328803.875588655,0.000000000,0.000000000,0.136200000,0.567700000,0.000000000
1627328803.875603676,0.000000000,0.000000000,0.135600000,0.567200000,0.000000000
1627328803.875611782,0.000000000,0.000000000,0.135000000,0.566700000,0.000000000
1627328803.875620842,0.000000000,0.000000000,0.134300000,0.565800000,0.000000000
1627328803.880562782,0.000000000,0.000000000,0.133500000,0.565300000,0.000000000
1627328803.890513182,0.000000000,0.000000000,0.132800000,0.564800000,0.000000000
1627328803.931587458,0.000000000,0.000000000,0.132000000,0.564000000,0.000000000
1627328803.931599617,0.000000000,0.000000000,0.131300000,0.563600000,0.000000000
1627328803.931619406,0.000000000,0.000000000,0.130700000,0.563000000,0.000000000
1627328803.931630135,0.000000000,0.000000000,0.129900000,0.562100000,0.000000000
1627328803.975593328,0.000000000,0.000000000,0.129300000,0.561600000,0.000000000
1627328803.975606441,0.000000000,0.000000000,0.128800000,0.561000000,0.000000000
1627328803.975620508,0.000000000,0.000000000,0.128300000,0.560200000,0.000000000
1627328803.975631952,0.000000000,0.000000000,0.128000000,0.559600000,0.000000000
1627328804.019618034,0.000000000,0.000000000,0.127600000,0.559100000,0.000000000
1627328804.019652367,0.000000000,0.000000000,0.127100000,0.558300000,0.000000000
1627328804.019665718,0.000000000,0.000000000,0.126900000,0.557800000,0.000000000
1627328804.019674540,0.000000000,0.000000000,0.126700000,0.557200000,0.000000000
1627328804.063588381,0.000000000,0.000000000,0.126400000,0.556400000,0.000000000
1627328804.063601494,0.000000000,0.000000000,0.126200000,0.555900000,0.000000000
1627328804.063613892,0.000000000,0.000000000,0.126100000,0.555300000,0.000000000
1627328804.063626528,0.000000000,0.000000000,0.125800000,0.554500000,0.000000000
1627328804.063637495,0.000000000,0.000000000,0.125600000,0.553900000,0.000000000
1627328804.107627630,0.000000000,0.000000000,0.125400000,0.553500000,0.000000000
1627328804.107660294,0.000000000,0.000000000,0.125000000,0.552700000,0.000000000
1627328804.107672930,0.000000000,0.000000000,0.124700000,0.552200000,0.000000000
