timestamp,camera_front
1627329587.443413019,0
1627329587.465744972,1
1627329587.499626875,2
1627329587.533382893,3
1627329587.566216946,4
1627329587.600121975,5
1627329587.632844925,6
1627329587.666577816,7
1627329587.699527979,8
1627329587.733489037,9
1627329587.766161919,10
1627329587.800146103,11
1627329587.832890034,12
1627329587.866707087,13
1627329587.899518013,14
1627329587.933453798,15
1627329587.966131926,16
1627329588.000000000,17
1627329588.032889128,18
1627329588.066650867,19
1627329588.099617958,20
1627329588.133443832,21
1627329588.166229010,22
1627329588.200139046,23
1627329588.232897043,24
1627329588.266652822,25
1627329588.299486876,26
1627329588.333384991,27
1627329588.366103888,28
1627329588.400088072,29
1627329588.432939053,30
1627329588.466650009,31
1627329588.499565125,32
1627329588.533363104,33
1627329588.566184044,34
1627329588.600073099,35
1627329588.632899046,36
1627329588.666625977,37
1627329588.699532986,38
1627329588.733352900,39
1627329588.766193867,40
1627329588.800010920,41
1627329588.832961798,42
1627329588.866765022,43
1627329588.899498940,44
1627329588.933417082,45
1627329588.966138124,46
1627329589.000084877,47
1627329589.032947063,48
1627329589.066653013,49
1627329589.099565029,50
1627329589.133464098,51
1627329589.166274071,52
1627329589.200138092,53
1627329589.232907057,54
1627329589.266715050,55
1627329589.299581051,56
1627329589.333400011,57
1627329589.366119862,58
1627329589.400168896,59
1627329589.432980061,60
1627329589.466686964,61
1627329589.499500036,62
1627329589.533433914,63
1627329589.566118956,64
1627329589.600211859,65
1627329589.632802010,66
1627329589.666728020,67
1627329589.699574947,68
1627329589.733324051,69
1627329589.766180992,70
1627329589.800338984,71
1627329589.832836866,72
1627329589.866705179,73
1627329589.899619818,74
1627329589.933448076,75
1627329589.966187000,76
1627329590.000313997,77
1627329590.032830000,78
1627329590.066767931,79
1627329590.099652052,80
1627329590.133418083,81
1627329590.166136980,82
1627329590.200115919,83
1627329590.232844830,84
1627329590.266736031,85
1627329590.299524069,86
1627329590.333491087,87
1627329590.366137981,88
1627329590.400094986,89
1627329590.432789087,90
1627329590.466768026,91
1627329590.499622107,92
1627329590.533416986,93
1627329590.566106081,94
1627329590.600093842,95
1627329590.632959843,96
1627329590.666676044,97
1627329590.699665070,98
1627329590.733473063,99
1627329590.766168833,100
1627329590.800253868,101
1627329590.832885981,102
1627329590.866726875,103
1627329590.899491072,104
1627329590.933441877,105
1627329590.966150045,106
1627329591.000375032,107
1627329591.033124924,108
1627329591.066744804,109
1627329591.099534988,110
1627329591.133583069,111
1627329591.166249037,112
1627329591.200069904,113
1627329591.232939005,114
1627329591.266813993,115
1627329591.299576044,116
1627329591.333391905,117
1627329591.366271019,118
1627329591.400142908,119
1627329591.432965994,120
1627329591.466794968,121
1627329591.499592066,122
1627329591.533555984,123
1627329591.566218853,124
1627329591.600231171,125
1627329591.633009911,126
1627329591.666847944,127
1627329591.699644804,128
1627329591.733532906,129
1627329591.766313076,130
1627329591.800127983,131
1627329591.833074093,132
1627329591.866714954,133
1627329591.899573088,134
1627329591.933457136,135
1627329591.966376066,136
1627329592.000133991,137
1627329592.032902956,138
1627329592.067327023,139
1627329592.099635839,140
1627329592.133506060,141
1627329592.166155100,142
1627329592.200176954,143
1627329592.233003855,144
1627329592.266746998,145
1627329592.299659014,146
1627329592.333513021,147
1627329592.366181135,148
1627329592.400126934,149
1627329592.433041096,150
1627329592.467058897,151
1627329592.499626875,152
1627329592.533634901,153
1627329592.566272020,154
1627329592.600239992,155
1627329592.632965088,156
1627329592.666699886,157
1627329592.699723005,158
1627329592.733525038,159
1627329592.766340017,160
1627329592.800215960,161
1627329592.833040953,162
1627329592.866858959,163
1627329592.899566889,164
1627329592.933583021,165
1627329592.966368914,166
1627329593.000161886,167
1627329593.032975912,168
1627329593.066812992,169
1627329593.099676847,170
1627329593.133618832,171
1627329593.166505098,172
1627329593.200173140,173
1627329593.233019829,174
1627329593.266918898,175
1627329593.299584866,176
1627329593.333491087,177
1627329593.366347075,178
1627329593.400264025,179
1627329593.433124065,180
1627329593.466768980,181
1627329593.499802828,182
1627329593.533689976,183
1627329593.566309929,184
1627329593.600264072,185
1627329593.632948160,186
1627329593.666943073,187
1627329593.699712992,188
1627329593.733633041,189
1627329593.766396999,190
1627329593.800292015,191
1627329593.833055019,192
1627329593.866925955,193
1627329593.899672031,194
1627329593.933629990,195
1627329593.966443062,196
1627329594.000189066,197
1627329594.033149958,198
1627329594.066930056,199
1627329594.099769831,200
1627329594.133569002,201
1627329594.166335821,202
1627329594.200249910,203
1627329594.233058929,204
1627329594.266941071,205
1627329594.299659014,206
1627329594.333667040,207
1627329594.366364002,208
1627329594.400190115,209
1627329594.433022976,210
1627329594.466968060,211
1627329594.499644995,212
1627329594.533624887,213
1627329594.566350937,214
1627329594.600300074,215
1627329594.633049011,216
1627329594.666934013,217
1627329594.699681044,218
1627329594.733678818,219
1627329594.766415119,220
1627329594.800252914,221
1627329594.833211899,222
1627329594.866909981,223
1627329594.899825096,224
1627329594.933676004,225
1627329594.966436863,226
1627329595.000483990,227
1627329595.033085823,228
1627329595.066894054,229
1627329595.099769831,230
1627329595.133806944,231
1627329595.166317940,232
1627329595.200271130,233
1627329595.233074903,234
1627329595.266993046,235
1627329595.299654961,236
1627329595.333625078,237
1627329595.366423130,238
1627329595.400325060,239
1627329595.433223009,240
1627329595.467010021,241
1627329595.499866009,242
1627329595.533699036,243
1627329595.566419840,244
1627329595.600274086,245
1627329595.633206129,246
1627329595.667034864,247
1627329595.699867010,248
1627329595.733753920,249
1627329595.766531944,250
1627329595.800236940,251
1627329595.833190918,252
1627329595.866984844,253
1627329595.899808884,254
1627329595.933676004,255
1627329595.966438055,256
1627329596.000294924,257
1627329596.033200026,258
1627329596.067021132,259
1627329596.099704981,260
1627329596.133630991,261
1627329596.166392088,262
1627329596.200576067,263
1627329596.233149052,264
1627329596.267011881,265
1627329596.299713135,266
1627329596.333642960,267
1627329596.366456032,268
1627329596.400318861,269
1627329596.433168888,270
1627329596.467064142,271
1627329596.499848127,272
1627329596.533764124,273
1627329596.566484928,274
1627329596.600411892,275
1627329596.633141041,276
1627329596.666989088,277
1627329596.699871063,278
1627329596.733684063,279
1627329596.766518831,280
1627329596.800379992,281
1627329596.833271027,282
1627329596.867027998,283
1627329596.899865150,284
1627329596.933723927,285
1627329596.966660023,286
1627329597.000456095,287
1627329597.033290148,288
1627329597.067055941,289
1627329597.099816084,290
1627329597.133761883,291
1627329597.166522026,292
1627329597.200431108,293
1627329597.233326912,294
1627329597.267071962,295
1627329597.299903870,296
1627329597.333837032,297
1627329597.366569042,298
1627329597.400488138,299
1627329597.433335066,300
1627329597.467134953,301
1627329597.500023127,302
1627329597.533784866,303
1627329597.566711903,304
1627329597.600524902,305
1627329597.633440971,306
1627329597.667216063,307
1627329597.699997187,308
1627329597.733926058,309
1627329597.766654015,310
1627329597.800576925,311
1627329597.833420992,312
1627329597.867172956,313
1627329597.900261879,314
1627329597.933359861,315
1627329597.966696978,316
1627329598.000156164,317
1627329598.034014940,318
1627329598.066701889,319
1627329598.100635052,320
1627329598.133474112,321
1627329598.167331934,322
1627329598.200186968,323
1627329598.234015942,324
1627329598.266713142,325
1627329598.300626040,326
1627329598.333418846,327
1627329598.367231131,328
1627329598.400030136,329
1627329598.433919907,330
1627329598.466608047,331
1627329598.500510931,332
1627329598.533452034,333
1627329598.567296028,334
1627329598.600035906,335
1627329598.634125948,336
1627329598.666661978,337
1627329598.700465918,338
1627329598.733308077,339
1627329598.767205000,340
1627329598.799890041,341
1627329598.833923101,342
1627329598.866573095,343
1627329598.900408983,344
1627329598.933227062,345
1627329598.967039108,346
1627329598.999903917,347
1627329599.033946991,348
1627329599.066401005,349
1627329599.100440025,350
1627329599.133177996,351
1627329599.166989088,352
1627329599.199771166,353
1627329599.233660936,354
1627329599.266467094,355
1627329599.300238132,356
1627329599.333137989,357
1627329599.366950035,358
1627329599.399924994,359
1627329599.433670998,360
1627329599.466400862,361
1627329599.500265121,362
1627329599.533172131,363
1627329599.566955090,364
1627329599.599725962,365
1627329599.633543968,366
1627329599.666419029,367
1627329599.700194836,368
1627329599.733011007,369
1627329599.766885996,370
1627329599.799834967,371
1627329599.833591938,372
1627329599.866328955,373
1627329599.900259972,374
1627329599.933077812,375
1627329599.966825962,376
1627329599.999659061,377
1627329600.033547163,378
1627329600.066333055,379
1627329600.100239992,380
1627329600.133100986,381
1627329600.166764021,382
1627329600.199635029,383
1627329600.233873129,384
1627329600.266232014,385
1627329600.300161839,386
1627329600.333106995,387
1627329600.366832972,388
1627329600.399667025,389
1627329600.433563948,390
1627329600.466265917,391
1627329600.500128984,392
1627329600.533017874,393
1627329600.566892862,394
1627329600.599774122,395
1627329600.633600950,396
1627329600.666332006,397
1627329600.700207949,398
1627329600.733047009,399
1627329600.766880989,400
1627329600.799674988,401
1627329600.833619833,402
1627329600.866307974,403
1627329600.900164127,404
1627329600.933123112,405
1627329600.966809988,406
1627329600.999656916,407
1627329601.033564091,408
1627329601.066302061,409
1627329601.100244999,410
1627329601.133063078,411
1627329601.166882992,412
1627329601.199718952,413
1627329601.233613014,414
1627329601.266347170,415
1627329601.300244808,416
1627329601.333055973,417
1627329601.366875887,418
1627329601.399775982,419
1627329601.433633089,420
1627329601.466480017,421
1627329601.500367880,422
1627329601.533107042,423
1627329601.566956997,424
1627329601.599848032,425
1627329601.633680105,426
1627329601.666428804,427
1627329601.700330973,428
1627329601.733124018,429
1627329601.766973019,430
1627329601.799764156,431
1627329601.833675861,432
1627329601.866415024,433
1627329601.900283098,434
1627329601.933142900,435
1627329601.967035055,436
1627329601.999833107,437
1627329602.033753872,438
1627329602.066421986,439
1627329602.100394964,440
1627329602.133234024,441
1627329602.167091131,442
1627329602.199851036,443
1627329602.233623028,444
1627329602.266511917,445
1627329602.300500870,446
1627329602.333222151,447
1627329602.367114067,448
1627329602.399888039,449
1627329602.433728933,450
1627329602.466488123,451
1627329602.500334024,452
1627329602.533161879,453
1627329602.567039967,454
1627329602.599841118,455
1627329602.633751869,456
1627329602.666558027,457
1627329602.700514078,458
1627329602.733317852,459
1627329602.767091036,460
1627329602.800111055,461
1627329602.833952904,462
1627329602.867367983,463
1627329602.900515079,464
1627329602.933424950,465
1627329602.967267036,466
1627329602.999852896,467
1627329603.033757925,468
1627329603.066652060,469
1627329603.100518942,470
1627329603.133378029,471
1627329603.167109966,472
1627329603.199969053,473
1627329603.233850002,474
1627329603.266607046,475
1627329603.300447941,476
1627329603.333277941,477
1627329603.367292881,478
1627329603.399910927,479
1627329603.433799028,480
1627329603.466553926,481
1627329603.500451088,482
1627329603.533276081,483
1627329603.567094803,484
1627329603.599856138,485
1627329603.633918047,486
1627329603.666496992,487
1627329603.700386047,488
1627329603.733253956,489
1627329603.767040014,490
1627329603.799927950,491
1627329603.833714962,492
1627329603.866502047,493
1627329603.900364161,494
1627329603.933274031,495
1627329603.967066050,496
1627329603.999834061,497
1627329604.033723116,498
1627329604.066591978,499
1627329604.100386858,500
1627329604.133203983,501
1627329604.167042971,502
1627329604.199864149,503
1627329604.233665943,504
1627329604.266597033,505
1627329604.300424099,506
1627329604.333266020,507
1627329604.367079020,508
1627329604.399873972,509
1627329604.433789968,510
1627329604.466653824,511
1627329604.500422001,512
1627329604.533219814,513
1627329604.567273140,514
1627329604.599839926,515
1627329604.633775949,516
1627329604.666585922,517
1627329604.700508118,518
1627329604.733345985,519
1627329604.767179012,520
1627329604.799843073,521
1627329604.833753824,522
1627329604.866633892,523
1627329604.900471210,524
1627329604.933385849,525
1627329604.967091084,526
1627329604.999917030,527
1627329605.033834934,528
1627329605.066634893,529
1627329605.100394964,530
1627329605.133343935,531
1627329605.167067051,532
1627329605.199871063,533
1627329605.233796120,534
1627329605.266705990,535
1627329605.300415039,536
1627329605.333226919,537
1627329605.367108107,538
1627329605.399960041,539
1627329605.433853865,540
1627329605.466495037,541
1627329605.500489950,542
1627329605.533319950,543
1627329605.567024946,544
1627329605.599958897,545
1627329605.633832932,546
1627329605.666657925,547
1627329605.700455189,548
1627329605.733373165,549
1627329605.767210007,550
1627329605.799992085,551
1627329605.833884001,552
1627329605.866718054,553
1627329605.900569916,554
1627329605.933409929,555
1627329605.967169046,556
1627329605.999999046,557
