time,steering
1627329583.380701065,89.094937143
1627329583.413525105,90.183556954
1627329583.447856903,90.871106308
1627329583.481419563,92.074317678
1627329583.514133215,93.048345929
1627329583.548326731,93.678599504
1627329583.582445145,94.480740417
1627329583.614702225,94.881810874
1627329583.649056673,95.282881330
1627329583.681031227,95.454768669
1627329583.715318918,95.569360228
1627329583.748166800,95.683951787
1627329583.783444166,95.798543346
1627329583.814653397,95.970430684
1627329583.848639488,96.371501141
1627329583.881979704,96.944458936
1627329583.915349245,97.689304070
1627329583.950067043,98.491444983
1627329583.983449697,98.949811219
1627329584.015793324,99.694656353
1627329584.050562620,99.866543691
1627329584.083988190,99.751952132
1627329584.116327286,99.178994337
1627329584.151152134,97.460120952
1627329584.184496641,94.480740417
1627329584.216774702,91.959726118
1627329584.250606298,87.146880639
1627329584.284935951,81.875668924
1627329584.317145348,77.750372799
1627329584.351078749,71.562428612
1627329584.385466099,64.572343511
1627329584.417585611,56.550934379
1627329584.451429605,53.858032742
1627329584.485640287,42.456172619
1627329584.517950773,33.976397251
1627329584.552984476,25.267438765
1627329584.584988594,19.652452373
1627329584.618364334,14.782311114
1627329584.653213263,5.786873731
1627329584.686546564,0.343774677
1627329584.718776941,-2.349126960
1627329584.753545046,-6.245239967
1627329584.786838531,-8.594366927
1627329584.819081545,-11.573747462
1627329584.852962255,-13.750987083
1627329584.886318445,-15.297973130
1627329584.919539690,-16.443888720
1627329584.954355240,-17.360621192
1627329584.987633705,-17.589804311
1627329585.020060539,-17.589804311
1627329585.054905891,-17.589804311
1627329585.089328289,-17.246029633
1627329585.120697021,-15.355268910
1627329585.155263186,-12.146705257
1627329585.189588070,-7.849521793
1627329585.221880913,-4.469070802
1627329585.255613804,1.776169165
1627329585.289047718,9.568395179
1627329585.321558237,15.355268910
1627329585.356684685,24.694480970
1627329585.389616489,34.893129723
1627329585.422488689,45.263665815
1627329585.455567360,52.368342475
1627329585.490389347,62.796174346
1627329585.522912502,72.880231541
1627329585.556339502,79.354654626
1627329585.589854717,88.292796230
1627329585.623322248,96.256909582
1627329585.656606674,101.298938179
1627329585.691379786,107.544178146
1627329585.723456860,112.586206743
1627329585.758524179,116.482319750
1627329585.792056084,118.258488915
1627329585.824748993,119.576291844
1627329585.857920647,119.175221387
1627329585.891979933,117.169869104
1627329585.925258160,114.763446365
1627329585.958188772,110.752741799
1627329585.993495941,106.570149894
1627329586.024723768,104.049135596
1627329586.058906555,100.955163502
1627329586.092975140,98.663332322
1627329586.125244856,97.173642054
1627329586.159579039,96.486092700
1627329586.193448782,95.798543346
1627329586.225731850,95.454768669
1627329586.259491682,94.996402433
1627329586.294006348,94.366148858
1627329586.326207161,92.360796575
1627329586.360038757,90.584627410
1627329586.393546104,86.974993301
1627329586.426852703,84.568570561
1627329586.460747242,80.787049113
1627329586.493968487,78.667105271
1627329586.527567863,76.375274091
1627329586.562248707,75.343950060
1627329586.595554352,74.484513367
1627329586.627784729,74.255330249
1627329586.661623716,74.083442910
1627329586.695034742,73.968851351
1627329586.728338480,73.968851351
1627329586.762279034,73.796964013
1627329586.795367241,73.453189336
1627329586.828856230,73.052118879
1627329586.863689661,71.791611730
1627329586.895936012,70.588400360
1627329586.929172277,68.583048077
1627329586.964163542,67.150653589
1627329586.997337580,64.973413968
1627329587.029592276,62.280512331
1627329587.064580679,59.988681150
1627329587.096874952,55.576906128
1627329587.130280495,52.081863577
1627329587.164035320,46.065806729
1627329587.197318316,41.768623265
1627329587.230843067,35.466087519
1627329587.265450478,29.163551772
1627329587.298710108,25.553917663
1627329587.331118345,20.855663743
1627329587.365871668,18.277353665
1627329587.399199247,15.183381571
1627329587.431515217,13.579099745
1627329587.466344595,12.146705257
1627329587.499683142,12.089409477
1627329587.531851768,11.974817918
1627329587.566665649,10.943493887
1627329587.600217581,10.255944533
1627329587.632433414,9.281916281
1627329587.668129444,8.365183809
1627329587.700675726,8.193296470
1627329587.733365297,8.193296470
1627329587.766971588,8.193296470
1627329587.801162243,8.193296470
1627329587.834057093,8.193296470
1627329587.867539644,8.365183809
1627329587.901639700,8.479775368
1627329587.934536695,8.594366927
1627329587.968141556,8.651662706
1627329588.002254009,8.766254266
1627329588.034126759,9.167324722
1627329588.068407297,9.682986738
1627329588.101798058,10.198648753
1627329588.135596037,10.886198107
1627329588.169160366,11.344564344
1627329588.203616619,11.974817918
1627329588.235662460,12.146705257
1627329588.270117760,12.490479934
1627329588.303464413,12.547775713
1627329588.335883856,12.547775713
1627329588.370547056,12.547775713
1627329588.403947592,12.547775713
1627329588.436147928,12.547775713
1627329588.471067905,12.547775713
1627329588.504308939,12.547775713
1627329588.536518335,12.547775713
1627329588.571291208,12.547775713
1627329588.603615522,12.547775713
1627329588.637005329,12.547775713
1627329588.671898842,12.662367272
1627329588.705215693,12.776958831
1627329588.737495184,12.948846170
1627329588.772408009,13.063437729
1627329588.805732250,13.292620847
1627329588.837916851,13.464508186
1627329588.871835709,13.750987083
1627329588.906283617,14.152057540
1627329588.938478708,14.381240658
1627329588.973369360,14.782311114
1627329589.006786585,15.068790012
1627329589.038866520,15.297973130
1627329589.072717905,15.355268910
1627329589.107022762,15.355268910
1627329589.139249086,15.355268910
1627329589.173124790,15.355268910
1627329589.207655907,15.355268910
