time,speed
1627329583.401625,0.055598336324765775
1627329583.4117446,0.05093511980548877
1627329583.4217746,0.0452265798485615
1627329583.4316163,0.03924536880089763
1627329583.4417734,0.03339006055525343
1627329583.4516883,0.027548438058929474
1627329583.4616563,0.02178921519519683
1627329583.4717402,0.016440624520657074
1627329583.4816995,0.012119315267595724
1627329583.491642,0.009560951366624751
1627329583.501621,0.01001950979055947
1627329583.5117452,0.012765716993252999
1627329583.521657,0.016700081680765783
1627329583.5317218,0.021153556650001563
1627329583.5415587,0.025429359581740855
1627329583.5516741,0.029366064072397086
1627329583.5616057,0.03262683497594675
1627329583.5715628,0.0350895870753766
1627329583.5816627,0.0369518525944038
1627329583.591652,0.03793643495083952
1627329583.6015854,0.03812767394666418
1627329583.6115181,0.037832541572483225
1627329583.621475,0.03689784123638954
1627329583.6315906,0.03531564993217232
1627329583.6417186,0.03335068397534285
1627329583.651653,0.03109409771303477
1627329583.6616108,0.028411621805054937
1627329583.6716802,0.02549083445844872
1627329583.6815124,0.02257369539335212
1627329583.6917388,0.019898929463297795
1627329583.701714,0.01731286407566352
1627329583.7116766,0.014547557108272166
1627329583.7216516,0.011346780884493184
1627329583.731715,0.00780615315082387
1627329583.7417243,0.004937877506508259
1627329583.7516766,0.0048305375018362325
1627329583.761606,0.007411059876295729
1627329583.7715979,0.011115402972420613
1627329583.7815506,0.015577366006491868
1627329583.791644,0.02038001055516983
1627329583.8015823,0.02557153060297991
1627329583.8116121,0.031258499757494784
1627329583.82166,0.03710991411637293
1627329583.831624,0.042917253487090204
1627329583.8416038,0.04868896745376046
1627329583.8516831,0.054382047191391766
1627329583.8614624,0.06013900485965454
1627329583.8717327,0.06579516896214005
1627329583.8816671,0.07112262372944067
1627329583.8916526,0.07632244213798278
1627329583.901595,0.08152557960698614
1627329583.9120278,0.0866139436917083
1627329583.9219801,0.0916303025827741
1627329583.93164,0.0965703382850816
1627329583.9417357,0.10119060012882268
1627329583.9514806,0.1057140200124148
1627329583.96163,0.11033200067394021
1627329583.9716113,0.11513583510183106
1627329583.9816685,0.1201357572588418
1627329583.9916985,0.12528424074824662
1627329584.0016158,0.1301158426712063
1627329584.011568,0.13438954285438015
1627329584.0216558,0.13823108970990927
1627329584.0316372,0.14173209616273436
1627329584.041715,0.14521450673171166
1627329584.0517492,0.14890036619704014
1627329584.06168,0.15221794385570891
1627329584.0716538,0.15520378343972271
1627329584.081552,0.1579013540131126
1627329584.091717,0.16045829286600585
1627329584.1016986,0.1629587519174122
1627329584.1117406,0.16517147853299594
1627329584.1216931,0.16708713659782048
1627329584.1316447,0.16859002675774112
1627329584.1416044,0.1698806896225793
1627329584.1516876,0.17092871388822087
1627329584.1615958,0.1719029334023594
1627329584.1717443,0.17273724882180652
1627329584.1815648,0.17323400534031833
1627329584.1915555,0.17374271462454632
1627329584.2017612,0.1741504318140037
1627329584.2116187,0.1743057953349694
1627329584.221713,0.1739895798596162
1627329584.2316494,0.17361209656839943
1627329584.2416177,0.17320364105608144
1627329584.2515886,0.17284586016994669
1627329584.2615058,0.17261307616619198
1627329584.2716658,0.1721847135363691
1627329584.2817116,0.1714753451133768
1627329584.2915516,0.1701449409454823
1627329584.3016999,0.16814387915492296
1627329584.3116179,0.1664027332129402
1627329584.3217056,0.16549394150007296
1627329584.3316483,0.1640040119123698
1627329584.3415902,0.16126784987749862
1627329584.351563,0.15743052406699934
1627329584.3615203,0.1532158036572486
1627329584.3717074,0.1498656742263073
1627329584.3815582,0.14664303480455743
1627329584.3919888,0.1434843039430618
1627329584.401793,0.14027183395345522
1627329584.4116566,0.13651276235912282
1627329584.4217184,0.13235059507281677
1627329584.4316428,0.12764118070034844
1627329584.441747,0.12276497990366403
1627329584.4517038,0.11767397364022371
1627329584.461706,0.11233713381728672
1627329584.471707,0.10648109033324488
1627329584.4817276,0.09992182584900396
1627329584.49169,0.09269075377502196
1627329584.501677,0.08448269519483938
1627329584.5117676,0.07553496530304538
1627329584.5215158,0.06603751609310349
1627329584.5317423,0.05613013059264444
1627329584.5415914,0.04610157717563537
1627329584.5516984,0.03557701615380588
1627329584.5616236,0.024557968478039628
1627329584.5716076,0.014132314377862555
1627329584.5815341,0.009056576127876236
1627329584.5916643,0.017126562165611446
1627329584.6016037,0.029364450825972402
1627329584.6116154,0.04287782359477128
1627329584.6215003,0.056795779201805535
1627329584.6316743,0.07074346001290227
1627329584.64159,0.08456376610302914
1627329584.651694,0.0985142326749716
1627329584.6616244,0.11281629251560016
1627329584.671739,0.12747945376632908
1627329584.6816623,0.14224810349129835
1627329584.6916604,0.15665839682168894
1627329584.7016284,0.17093200900087963
1627329584.7118316,0.1854804451820496
1627329584.7216654,0.200097882522831
1627329584.7316327,0.2146600137899822
1627329584.7417374,0.22902985283459343
1627329584.7516806,0.24315254700703984
1627329584.7616198,0.25733997819532595
1627329584.7715847,0.27184717082309523
1627329584.7816699,0.2864678643028288
1627329584.7916307,0.30101169846392706
1627329584.801579,0.31566763541886145
1627329584.8118112,0.33014043456623404
1627329584.8216927,0.3445883814876333
1627329584.8316174,0.35924325300620785
1627329584.8415558,0.37375287803875
1627329584.8517182,0.3880102241584796
1627329584.8615894,0.40207690788478806
1627329584.871542,0.41610195735186956
1627329584.8814974,0.4301398191106577
1627329584.8917167,0.44408837861842565
1627329584.901728,0.45771576551765136
1627329584.911778,0.4711182143315924
1627329584.9216218,0.4848811161416165
1627329584.9319527,0.49853575727027766
1627329584.9417634,0.5121094597570637
1627329584.9516308,0.5258175676972432
1627329584.9617393,0.53948171895622
