#frame_num,ros_time
0,1627329587.443413
1,1627329587.465745
2,1627329587.4996269
3,1627329587.533383
4,1627329587.566217
5,1627329587.600122
6,1627329587.632845
7,1627329587.6665778
8,1627329587.699528
9,1627329587.733489
10,1627329587.766162
11,1627329587.800146
12,1627329587.83289
13,1627329587.866707
14,1627329587.899518
15,1627329587.9334538
16,1627329587.966132
17,1627329588.0
18,1627329588.0328891
19,1627329588.0666509
20,1627329588.099618
21,1627329588.1334438
22,1627329588.166229
23,1627329588.200139
24,1627329588.232897
25,1627329588.2666528
26,1627329588.2994869
27,1627329588.333385
28,1627329588.366104
29,1627329588.400088
30,1627329588.432939
31,1627329588.46665
32,1627329588.4995651
33,1627329588.533363
34,1627329588.566184
35,1627329588.600073
36,1627329588.632899
37,1627329588.666626
38,1627329588.699533
39,1627329588.733353
40,1627329588.7661939
41,1627329588.800011
42,1627329588.8329618
43,1627329588.866765
44,1627329588.899499
45,1627329588.933417
46,1627329588.9661381
47,1627329589.0000849
48,1627329589.032947
49,1627329589.066653
50,1627329589.099565
51,1627329589.133464
52,1627329589.166274
53,1627329589.200138
54,1627329589.232907
55,1627329589.266715
56,1627329589.299581
57,1627329589.3334
58,1627329589.3661199
59,1627329589.400169
60,1627329589.43298
61,1627329589.466687
62,1627329589.4995
63,1627329589.533434
64,1627329589.566119
65,1627329589.6002119
66,1627329589.632802
67,1627329589.666728
68,1627329589.699575
69,1627329589.733324
70,1627329589.766181
71,1627329589.800339
72,1627329589.8328369
73,1627329589.8667052
74,1627329589.8996198
75,1627329589.933448
76,1627329589.966187
77,1627329590.000314
78,1627329590.03283
79,1627329590.066768
80,1627329590.099652
81,1627329590.133418
82,1627329590.166137
83,1627329590.200116
84,1627329590.2328448
85,1627329590.266736
86,1627329590.299524
87,1627329590.333491
88,1627329590.366138
89,1627329590.400095
90,1627329590.432789
91,1627329590.466768
92,1627329590.499622
93,1627329590.533417
94,1627329590.566106
95,1627329590.6000938
96,1627329590.6329598
97,1627329590.666676
98,1627329590.699665
99,1627329590.733473
100,1627329590.7661688
101,1627329590.8002539
102,1627329590.832886
103,1627329590.8667269
104,1627329590.899491
105,1627329590.9334419
106,1627329590.96615
107,1627329591.000375
108,1627329591.033125
109,1627329591.0667448
110,1627329591.099535
111,1627329591.133583
112,1627329591.166249
113,1627329591.20007
114,1627329591.232939
115,1627329591.266814
